"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "47.8" "50" "2" " 11. kerület, Kapolcs utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "5.52 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"2" "29.8" "33" "1" " 8. kerület, Ülloi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "17 000 Ft/hó" NA
"3" "63.9" "80" "3" " 7. kerület, Dob utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), gázkazán" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "66.9" "76" "2" " 7. kerület, Király utca " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "53.9" "83" "3" " 9. kerület, Boráros tér " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"6" "56.2" "52" "2" " 11. kerület, Kapolcs utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nincs megadva" "külön helyiségben" "északkelet" "panorámás" "16.97 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"7" "59.66" "55" "2" " 13. kerület, Úszódaru utca 5. " "újszeru" "2019" "összkomfortos" "nincs megadva" "5" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "13 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"8" "34.5" "57" "2" " 6. kerület, Király utca 106. " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "5" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "39.9" "60" "1" " 14. kerület, Francia út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "1 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "26.9" "50" "2" " 10. kerület, Ligettelek " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva"
"11" "23.4" "47" "2" " 15. kerület, Páskomliget utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva"
"12" "58" "70" "2" " 11. kerület, Szentimreváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "5" "van" "nincs megadva" "gáz (cirko)" NA "igen" "külön helyiségben" "nincs megadva" "udvari" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA "20 000 Ft/hó" NA
"13" "49.5" "93" "4" " 22. kerület, Leányka utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "dél" "panorámás" NA "nem" NA "utca, közterület - ingyenes" NA NA NA
"14" "36.9" "44" "1" " 22. kerület, Regényes utca 7. " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "igen" "külön helyiségben" "nincs megadva" "kertre nézo" "4 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"15" "64.9" "42" "2" " 6. kerület, Benczúr utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel, egyéb" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "10 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA "20 000 Ft/hó" NA
"16" "46" "64" "2" " 14. kerület, Ilka utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"17" "36.9" "58" "2" " 13. kerület, Béke utca 112. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA
"18" "55" "72" "3" " 7. kerület, István utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "27 000 Ft/hó" NA
"19" "16.9" "21" "1" " 4. kerület, Széchenyi tér " "újszeru" NA "nincs megadva" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "igen" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "nincs megadva" NA NA NA
"20" "24" "28" "1" " 16. kerület, Mátyásdomb tér " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA "30 000 Ft/hó" "nincs megadva"
