"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "38" "67" "2" " 8. kerület, Fiumei út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "74.5" "86" "4" " 13. kerület, Reitter Ferenc utca 144. " "nincs megadva" "nincs megadva" "A" "földszint" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "2019" "van" "16.6 m²" "2.95 M Ft" NA NA
"3" "183" "146" "3" " 12. kerület, Széchenyihegy " "nincs megadva" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "fan-coil" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" NA NA NA "25 000 Ft/hó" NA
"4" "77.89" "105" "3" " 13. kerület, Bulcsú utca " "felújított" "duplakomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" "1950 elott" "van" NA NA NA NA
"5" "33.38" "38" "1" " 6. kerület, Külso-Terézváros " "közepes állapotú" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA "20 000 Ft/hó" NA
"6" "26.9" "38" "1" " 14. kerület, Csömöri út " "jó állapotú" "nincs megadva" "nincs megadva" "1" "2" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" NA "van" "3 m²" NA NA NA
"7" "31.5" "39" "1" " 8. kerület, Sárkány utca 3. " "jó állapotú" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "északnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "2001-2010 között" "nincs" "2 m²" "3 M Ft" NA NA
"8" "36.5" "69" "2" " 14. kerület, Istvánmezo " "jó állapotú" "komfortos" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "1981-2000 között" NA NA NA NA "nincs megadva"
"9" "36.5" "69" "2" " 14. kerület, Ilka utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "7" "van" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "3 m²" NA NA "nincs megadva"
"10" "40" "85" "2" " 18. kerület, Kossuth Ferenc-telep " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "igen" "nem tetotéri" "önálló garázs - benne van az árban" "1950-1980 között" NA "40 m²" NA NA NA
"11" "34.9" "37" "1" " 11. kerület, Bartók Béla út " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "igen" "nem tetotéri" "utca, közterület" NA "van" NA NA NA NA
"12" "17.5" "24" "1" " 20. kerület, Erzsébetfalva " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA NA NA
"13" "33.5" "53" "2" " 11. kerület, Sáfrány utca " "jó állapotú" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs" NA NA NA "részt vett"
