"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "legkondicionalo" "parkolohely_ara"
"1" "43.5" "49" "2" " 14. kerület, Paskal Garden " "Paskal Garden" "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "9.9 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "33.79" "60" "2" " 3. kerület, Vajda János utca 25. " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "igen" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" "25 000 Ft/hó" NA NA NA
"3" "29" "61" "3" " 15. kerület, Újpalota " NA "felújított" NA "nincs megadva" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "részt vett" NA NA
"4" "184.9" "120" "4" " 5. kerület, Szemere utca " NA "újszeru" "1950 elott" "luxus" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "van" NA
"5" "91.9" "128" "3" " 6. kerület, Eötvös utca " NA "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "69.9" "76" "2" " 7. kerület, Külso-Erzsébetváros – Ligetváros " NA "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "van" "5.5 M Ft"
"7" "43" "53" "2" " 11. kerület, Albertfalvai lakótelep " NA "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "5 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" "nincs" NA
"8" "114" "99" "3" " 6. kerület, Lázár utca " NA "felújított" "1950 elott" "luxus" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "van" NA
"9" "84.5" "109" "3" " 11. kerület, Sasad " NA "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"10" "34.2" "41" "2" " 4. kerület, Újpest " NA "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "északkelet" "utcai" "2.4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "5 600 Ft/hó" NA "nincs" NA
