"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "lakopark_neve" "panelprogram"
"1" "47.9" "64" "3" " 18. kerület, Krepuska Géza-telep " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "29 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "46.9" "56" "1" " 5. kerület, Kossuth Lajos utca 12. " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "dél" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" "25 000 Ft/hó" NA NA NA
"3" "114.9" "110" "3" " 6. kerület, Andrássy út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "3" "van" "nincs megadva" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "délnyugat" "kertre nézo" "1 m²" "nem" "nem tetotéri" "udvari beálló - bérelheto" NA NA "12 000 Ft/hó" NA NA
"4" "22.9" "30" "1" " 20. kerület, Bíró Mihály utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "12 700 Ft/hó" NA NA NA
"5" "26.5" "21" "1" " 13. kerület, Újlipótváros " "felújított" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"6" "200.5" "103" "4" " 2. kerület, Fillér 53 " "új építésu" "2019" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "60.6 m²" "nincs megadva" "penthouse" "teremgarázs hely - megvásárolható" "van" NA "6 M Ft" "Fillér 53" NA
"7" "150.6" "100" "4" " 2. kerület, Fillér 53 " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "31.2 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "6 M Ft" "Fillér 53" NA
"8" "85.9" "63" "2" " 2. kerület, Fillér 53 " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "12.4 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "6 M Ft" "Fillér 53" NA
"9" "135" "99" "2" " 2. kerület, Fillér 53 " "új építésu" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "15.9 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "6 M Ft" "Fillér 53" NA
"10" "140" "91" "3" " 2. kerület, Fillér 53 " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "32 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "6 M Ft" "Fillér 53" NA
"11" "132.9" "106" "4" " 11. kerület, Sasad Resort Sun by Cordia " "új építésu" "2019" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "délnyugat" "utcai" "92 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA "3 M Ft" "Sasad Resort Sun by Cordia" NA
"12" "76.99" "95" "3" " 14. kerület, Csernyus utca 34. " "új építésu" "2019" "nincs megadva" "BB" "földszint" "2" "van" "nincs megadva" "mennyezeti hutés-futés, hoszivattyú" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "52 m²" "igen" "nem tetotéri" "teremgarázs hely" NA NA NA NA NA
"13" "25.9" "46" "1" " 14. kerület, Alsórákos " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA "nincs megadva"
"14" "83" "112" "4" " 2. kerület, Frankel Leó út " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"15" "24.4" "53" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "nincs megadva" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA "nincs megadva"
"16" "32.9" "39" "2" " 20. kerület, Madison Park " "új építésu" "2019" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "2.5 M Ft" "Madison Park" NA
"17" "23.9" "32" "1" " 20. kerület, Madison Park " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "3.8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "2.5 M Ft" "Madison Park" NA
"18" "173.59" "88" "4" " 5. kerület, Sweet Corner Residence " "új építésu" "2021" "luxus" "nincs megadva" "5" "7" "van" "nincs megadva" "hoszivattyú, falfutés" "igen" "külön helyiségben" "észak" "utcai" "16.92 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "Sweet Corner Residence" NA
"19" "48.2" "61" "2" " 3. kerület, Tündérliget utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "tetotéri" "teremgarázs hely - bérelheto" "van" NA NA NA NA
"20" "162" "138" "4" " 12. kerület, Széchenyihegy " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "1" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "egy helyiségben" "dél" "panorámás" "15 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - benne van az árban" "van" NA NA NA NA
