"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "54.9" "55" "2" " 11. kerület, Szentimreváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nem" "egy helyiségben" "észak" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "103" "91" "3" " 6. kerület, Teréz körút " "felújított" NA "nincs megadva" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "96" "104" "4" " 12. kerület, Virányos út " "felújítandó" "1950 elott" "duplakomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "20 m²" NA NA NA NA
"4" "46.5" "62" "2" " 14. kerület, Hungária körút " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "egyéb" "nem" "külön helyiségben" "dél" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "van" NA NA NA
"5" "90" "106" "3" " 6. kerület, Eötvös utca " "felújított" NA "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "utca, közterület" NA NA NA NA NA
"6" "25.8" "31" "1" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "2001-2010 között" "összkomfortos" "CC" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északnyugat" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "3 m²" "nincs" "15 000 Ft/hó" "12 500 Ft/hó" NA
"7" "97.82" "80" "3" " 5. kerület, Hercegprímás utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "3 m²" "van" NA NA NA
"8" "38.9" "62" "2" " 13. kerület, Faludi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA "nincs megadva"
"9" "41.9" "43" "2" " 6. kerület, Csengery utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "10 m²" NA NA NA NA
"10" "41.5" "44" "1" " 2. kerület, Víziváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület" "2.5 m²" "nincs" NA NA NA
"11" "33.4" "53" "2" " 11. kerület, Fegyvernek utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "4 m²" "van" NA NA "nincs megadva"
"12" "57" "74" "3" " 13. kerület, Újpesti rakpart " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"13" "33" "62" "2" " 8. kerület, Népszínház utca " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "udvari" "nem" "nincs megadva" "nincs megadva" NA NA NA NA NA
