"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram" "lakopark_neve"
"1" "46.99" "43" "2" " 13. kerület, Meder utca " "nincs megadva" "2019" "összkomfortos" "AA" "5" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "panorámás" "5.75 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "4.5 M Ft" NA NA NA
"2" "24.9" "41" "1" " 14. kerület, Hungária körút " "felújítandó" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"3" "100" "190" "3" " 5. kerület, Belváros " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "dél" "udvari" NA "nincs megadva" "tetotéri" "utca, közterület - fizetos övezet" NA "30 000 Ft/hó" NA NA
"4" "89" "111" "5" " 13. kerület, Fáy utca 68. " "új építésu" "2020" "nincs megadva" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "délnyugat" "panorámás" "20 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "3.5 M Ft" NA NA NA
"5" "66" "109" "6" " 14. kerület, Kiszugló " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nincs megadva" "utca, közterület" NA NA NA NA
"6" "38.9" "78" "3" " 8. kerület, Teleki László tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "43.9" "55" "2" " 12. kerület, Hajnóczy József utca " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"8" "24.9" "30" "1" " 9. kerület, Vaskapu utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"9" "28.3" "55" "2" " 15. kerület, Páskomliget utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "nincs megadva" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs megadva" NA
"10" "44.9" "66" "3" " 3. kerület, Óbuda-Óváros " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA
"11" "79.9" "73" "3" " 3. kerület, Harsánylejto Lakópark " "új építésu" "2019" "duplakomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "19 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "3.8 M Ft" NA NA "Harsánylejto Lakópark"
"12" "28.9" "50" "2" " 9. kerület, József Attila-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "5" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "4.5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "20 000 Ft/hó" NA NA
"13" "69.9" "76" "3" " 5. kerület, Nádor utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"14" "41.5" "62" "2" " 3. kerület, Pacsirtamezo utca " "közepes állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "13 000 Ft/hó" NA NA
