"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "51.87" "53" "2" " 3. kerület, Péterhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "18 m²" "nem" "nincs megadva" "nincs megadva" NA NA NA
"2" "22.5" "49" "2" " 17. kerület, Ferihegyi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "dél" "panorámás" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA
"3" "27.7" "36" "1" " 14. kerület, Padlizsán utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA
"4" "127.9" "116" "3" " 9. kerület, Boráros tér " "újszeru" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "95" "88" "2" " 5. kerület, Veres Pálné utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA
"6" "79" "97" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "dél" "utcai" NA "nem" "nincs megadva" "utca, közterület" "nincs" NA NA
"7" "54.9" "82" "4" " 9. kerület, Tuzoltó utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"8" "43.99" "52" "1" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"9" "49.9" "62" "3" " 6. kerület, Jókai tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "38.5" "50" "2" " 6. kerület, Izabella utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "325" "180" "3" " 6. kerület, Ó utca " "újszeru" "2018" "luxus" "AA+" "4" "4" "van" "3 m vagy magasabb" "hoszivattyú" "igen" "külön és egyben is" "nincs megadva" "panorámás" "66 m²" "nem" "nincs megadva" "nincs megadva" "van" NA NA
"12" "31.5" "48" "2" " 11. kerület, Etele út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"13" "65.3" "69" "2" " 9. kerület, Boráros tér " "jó állapotú" NA "nincs megadva" "nincs megadva" "8" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA
"14" "73.5" "86" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "észak" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "62" "65" "2" " 6. kerület, Mozsár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület" NA NA "28 000 Ft/hó"
"16" "83" "83" "1" " 6. kerület, Belso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"17" "27.5" "35" "1" " 15. kerület, Erdokerülo utca " "nincs megadva" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "egy helyiségben" "délnyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "részt vett" "8 300 Ft/hó"
"18" "214" "214" "3" " 11. kerület, Gellérthegy " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"19" "23" "57" "2" " 22. kerület, Árpád utca " "felújítandó" NA "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gázkazán" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "30 000 Ft/hó"
"20" "35" "54" "1" " 11. kerület, Cirmos utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "5 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA
