"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "48.29" "48" "2" " 7. kerület, Százház utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "északnyugat" "utcai" "8 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA
"2" "59.9" "96" "3" " 11. kerület, Kosztolányi Dezso tér " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "138" "131" "4" " 2. kerület, II/A kerület – Budaliget " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egyéb" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "60.9" "100" "3" " 11. kerület, Bartók Béla út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "dél" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"5" "130.1" "123" "3" " 2. kerület, II/A kerület – Budaliget " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "egyéb" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA
"6" "129.5" "131" "4" " 2. kerület, Törökvész " "jó állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "dél" "panorámás" NA "nem" "nem tetotéri" "önálló garázs" NA NA NA
"7" "89" "89" "3" " 6. kerület, Hajós utca " "felújítandó" NA "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"8" "27.7" "51" "1" " 19. kerület, Kispest-Óváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "tetotéri" "nincs megadva" NA NA NA
"9" "50.9" "74" "3" " 19. kerület, Kispest-Óváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "10 m²" "igen" "nincs megadva" "nincs megadva" NA NA NA
"10" "57.6" "55" "1" " 13. kerület, Pozsonyi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "7" "van" "3 m vagy magasabb" "távfutés" "van" "nem" "külön és egyben is" "nyugat" "utcai" "1.5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "18 000 Ft/hó" NA
"11" "47.45" "62" "2" " 12. kerület, Alkotás utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "8" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "4 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA NA
"12" "59" "67" "2" " 13. kerület, Pap Károly utca " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "7 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "19.9" "43" "1" " 20. kerület, Határ út 32. " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "egy helyiségben" "délnyugat" "udvari" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "9 500 Ft/hó" NA
"14" "42.9" "75" "2.5" " 3. kerület, Harang utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nem vett részt"
"15" "49.49" "59" "2" " 11. kerület, Szentimreváros " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "25 000 Ft/hó" NA
