"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "rezsikoltseg" "parkolohely_ara"
"1" "26.9" "52" "2" " 17. kerület, Pesti út " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "5 m²" "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület" NA NA NA
"2" "36.5" "64" "2" " 6. kerület, Szondi utca " "felújítandó" "összkomfortos" "HH" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "30 000 Ft/hó" NA
"3" "71.9" "75" "2" " 2. kerület, Felvinci út " "felújított" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "8 m²" "igen" "nincs megadva" NA "udvari beálló - benne van az árban" "1950-1980 között" NA NA
"4" "59.8" "62" "2" " 2. kerület, Árpád fejedelem útja " "felújított" "összkomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "6 m²" "igen" "nem tetotéri" NA "utca, közterület" NA NA NA
"5" "79.9" "76" "4" " 14. kerület, Alsórákos " "új építésu" "duplakomfortos" "AA+" "2" "3" "nincs" "3 m-nél alacsonyabb" "falfutés" "van" "nem" "külön és egyben is" "dél" "kertre nézo" "78.66 m²" "nem" "legfelso emelet, nem tetotéri" NA "teremgarázs hely - megvásárolható" "2020" NA "2.9 M Ft"
"6" "30.9" "46" "1" " 14. kerület, Cserto utca 18-20 " "felújított" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "egy helyiségben" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" NA NA
"7" "26.9" "40" "1" " 9. kerület, Sobieski János utca " "felújított" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" "20 000 Ft/hó" NA
"8" "59.9" "80" "3" " 14. kerület, Holics utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "7 m²" "nincs megadva" "nincs megadva" NA "önálló garázs - benne van az árban" "1981-2000 között" NA NA
"9" "59.6" "86" "3" " 6. kerület, Vasvári Pál utca " "nincs megadva" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "2001-2010 között" NA NA
"10" "46" "50" "2" " 5. kerület, Kossuth Lajos utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" NA "nincs megadva" "egy helyiségben" "nyugat" "udvari" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA "13 000 Ft/hó" NA
"11" "52.9" "69" "3" " 13. kerület, Gogol utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület" NA "34 000 Ft/hó" NA
"12" "73" "75" "3" " 11. kerület, Sasad " "újszeru" "összkomfortos" "nincs megadva" "nincs megadva" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön és egyben is" "nincs megadva" "panorámás" "4.28 m²" "nincs megadva" "nincs megadva" NA "teremgarázs hely - kötelezo megvenni" "1981-2000 között" NA "5 M Ft"
"13" "50" "58" "2" " 13. kerület, Csata utca " "nincs megadva" "komfortos" "nincs megadva" "8" "8" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "nem tetotéri" NA "teremgarázs hely" "2001-2010 között" NA NA
"14" "189" "131" "3" " 5. kerület, Szervita tér " "felújított" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" NA "utca, közterület" "1950 elott" NA NA
"15" "56.9" "74" "2" " 12. kerület, Krisztinaváros " "közepes állapotú" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"16" "52.9" "52" "1" " 6. kerület, Külso-Terézváros " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "egyéb" NA "nincs megadva" "egy helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA
"17" "31.49" "46" "1" " 14. kerület, Cserto utca 12. " "felújított" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "egy helyiségben" "kelet" "nincs megadva" NA "nem" "nincs megadva" "részt vett" "utca, közterület - ingyenes" "1950-1980 között" NA NA
"18" "32.9" "41" "1" " 22. kerület, III. utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" NA "udvari beálló - benne van az árban" "2001-2010 között" NA NA
"19" "45.4" "46" "2" " 13. kerület, Sólyatér utca 11. " "jó állapotú" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nincs megadva" "külön helyiségben" "délkelet" "udvari" "11.3 m²" "nem" "nem tetotéri" NA "teremgarázs hely - kötelezo megvenni" "2001-2010 között" "17 000 Ft/hó" "9 000 €"
