"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "parkolohely_ara" "rezsikoltseg"
"1" "27.3" "53" "3" " 13. kerület, Angyalföld – Béke–Tatai utcai lakótelep " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "szuterén" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "28.2" "50" "1" " 7. kerület, Nefelejcs utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"3" "27.99" "54" "2" " 4. kerület, Rózsa utca 39. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" "nincs megadva" NA NA
"4" "28" "27" "1" " 6. kerület, Rózsa utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"5" "52.9" "51" "2" " 3. kerület, Harsánylejto " "újszeru" "2019" "luxus" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "mennyezeti hutés-futés" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" NA "7 m²" NA "5 M Ft" NA
"6" "42.5" "39" "1" " 8. kerület, József körút " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
"7" "59.9" "67" "3" " 3. kerület, Pünkösdfürdo utca " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "4" "9" "van" "nincs megadva" "házközponti" "igen" "külön és egyben is" "nyugat" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "van" "8.49 m²" NA "3 M Ft" "25 000 Ft/hó"
"8" "49.9" "74" "2" " 11. kerület, Gazdagréti lakótelep " "felújított" NA "nincs megadva" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA "nincs megadva" NA "12 000 Ft/hó"
"9" "31.5" "37" "1" " 11. kerület, Olajbogyó utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "délnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA "6 m²" NA NA NA
"10" "49.9" "74" "2" " 13. kerület, Angyalföld – Loportárdulo " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "nincs megadva" "nem tetotéri" "udvari beálló - benne van az árban" "nincs" NA NA NA NA
