"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "67.06" "77" "4" " 13. kerület, Dagály Park 1. ütem " "Dagály Park 1. ütem" "új építésu" "2020" "összkomfortos" "nincs megadva" "1" "8" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "igen" "külön és egyben is" "délnyugat" "utcai" "4 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "3 M Ft" NA NA
"2" "31.9" "39" "1" " 9. kerület, Epreserdo utca 26. " NA "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó" NA
"3" "41.99" "66" "2" " 11. kerület, Hamzsabégi út " NA "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"4" "31" "37" "1" " 7. kerület, Rózsa utca " NA "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"5" "65" "75" "2" " 11. kerület, Hauszmann Alajos utca " NA "nincs megadva" "2019" "összkomfortos" "AA++" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "nincs megadva" "udvari" "18 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 M Ft" NA NA
"6" "53" "62" "2" " 7. kerület, Izabella utca " NA "felújított" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"7" "126.3" "73" "4" " 6. kerület, Király Boutique Residence " "Király Boutique Residence" "új építésu" "2021" "luxus" "nincs megadva" "3" "7" "van" "nincs megadva" "hoszivattyú" NA "nincs megadva" "nincs megadva" "északkelet" "udvari" "7.01 m²" "nem" "nem tetotéri" "teremgarázs hely" NA NA NA
"8" "49.9" "44" "2" " 13. kerület, Ipoly utca " NA "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "9" "van" "nincs megadva" "nincs megadva" NA "igen" "külön helyiségben" "dél" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "224" "100" "3" " 5. kerület, Basilica Residences " "Basilica Residences" "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés, hoszivattyú" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "55 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"10" "62" "82" "2" " 7. kerület, Huszár utca " NA "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"11" "44.7" "72" "3" " 4. kerület, Kossuth utca 74. " NA "nincs megadva" "2020" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "2 M Ft" NA NA
"12" "32.9" "49" "1" " 11. kerület, Kéro utca " NA "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "igen" "külön helyiségben" "nyugat" "utcai" "5 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "33 000 Ft/hó" "részt vett"
"13" "109" "95" "3" " 5. kerület, Városház utca " NA "felújított" "1950 elott" "luxus" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "külön és egyben is" "északnyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "22 000 Ft/hó" NA
