"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "legkondicionalo" "panelprogram" "rezsikoltseg"
"1" "65.27" "69" "3" " 11. kerület, Péterhegy " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "14.23 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "4 M Ft" NA NA NA
"2" "26" "53" "2" " 18. kerület, Mikszáth Kálmán utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "79.9" "64" "2" " 6. kerület, Teréz körút " "felújított" NA "duplakomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA
"4" "10" "34" "1" " 4. kerület, Kassai utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"5" "120" "87" "3" " 12. kerület, Kútvölgyi út " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nincs megadva" "udvari" "14.24 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA "nincs" NA NA
"6" "35" "48" "2" " 7. kerület, Hernád utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA "10 500 Ft/hó"
"7" "139.88" "100" "3" " 5. kerület, Károly körút " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület" NA "nincs" NA NA
"8" "58" "87" "3" " 7. kerület, Thököly út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA "20 000 Ft/hó"
"9" "36" "67" "2" " 8. kerület, Dobozi utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délkelet" "utcai" NA "nincs megadva" "nem tetotéri" "udvari beálló" NA "nincs" NA NA
"10" "33.5" "63" "2" " 14. kerület, Ipolyság utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "47.9" "70" "3" " 8. kerület, Kerepesdulo " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"12" "89" "104" "2" " 6. kerület, Nagymezo utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA
