"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "lakopark_neve" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "35.4" "44" "1" " 12. kerület, Krisztinaváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "13 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "54" "63" "2" " 9. kerület, Középso-Ferencváros " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "31 m²" NA NA NA NA
"3" "97" "73" "3" " 13. kerület, Westend Ház " "új építésu" "2018" "duplakomfortos" "AA" "9" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, mennyezeti hutés-futés" NA "igen" "külön és egyben is" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "18.67 m²" "Westend Ház" "van" "7 M Ft" NA
"4" "65" "84" "3" " 2. kerület, Országút " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "2 m²" NA NA NA NA
"5" "43" "51" "1" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "3 m²" NA NA NA NA
"6" "33" "43" "1" " 8. kerület, Kálvária tér " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti" "23 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "4.3 m²" NA "van" NA NA
"7" "35.4" "44" "1" " 12. kerület, Krisztinaváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"8" "39.9" "89" "3" " 8. kerület, Józsefváros – Ganznegyed " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület" "2.5 m²" NA NA NA NA
"9" "79.3" "67" "3" " 13. kerület, Westend Ház " "új építésu" "2018" "duplakomfortos" "AA" "9" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel, mennyezeti hutés-futés" NA "igen" "külön és egyben is" "északkelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5.15 m²" "Westend Ház" "van" "7 M Ft" NA
"10" "25.5" "68" "3" " 10. kerület, Harmat utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2 m²" NA "nincs" NA "nincs megadva"
