"ar_millio" "alapterulet_m" "szobak_n" "cim" "lakopark_neve" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "rezsikoltseg" "panelprogram"
"1" "52.5" "67" "3" " 13. kerület, Greenside " "Greenside" "új építésu" "2020" "duplakomfortos" "nincs megadva" "2" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "igen" "külön és egyben is" "délnyugat" "kertre nézo" "11.43 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.2 M Ft" NA NA
"2" "32" "43" "1" " 11. kerület, Bertalan Lajos utca " NA "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "20 000 Ft/hó" NA
"3" "73" "70" "2" " 5. kerület, Belváros " NA "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "90" "100" "1" " 3. kerület, Bécsi út " NA "nincs megadva" "2018" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "100 m²" "igen" "nincs megadva" "önálló garázs - benne van az árban" NA NA NA
"5" "58.9" "80" "3" " 14. kerület, Amerikai út 61. " NA "befejezetlen" NA "nincs megadva" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko), padlófutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"6" "42.9" "30" "1" " 7. kerület, Akácfa utca 45. " NA "felújított" "1950 elott" "luxus" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "hoszivattyú, padlófutés" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"7" "42.9" "72" "3" " 18. kerület, Bókaytelep " NA "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "48" "50" "2" " 14. kerület, Róna utca " NA "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "20 000 Ft/hó" NA
"9" "56.99" "59" "2" " 13. kerület, Rokolya utca " NA "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "igen" "külön helyiségben" "dél" "kertre nézo" "16 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "3.8 M Ft" NA NA
"10" "88" "99" "3" " 6. kerület, Belso-Terézváros " NA "felújítandó" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
