"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "parkolohely_ara" "rezsikoltseg" "lakopark_neve" "panelprogram"
"1" "59.9" "70" "2" " 2. kerület, Lipthay utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "dél" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA NA
"2" "78.9" "100" "3" " 7. kerület, Rottenbiller utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA NA
"3" "79" "71" "3" " 2. kerület, Tárogató út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "6.6 m²" NA NA NA NA NA
"4" "28.8" "43" "2" " 4. kerület, Kossuth utca " "nincs megadva" "2020" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "udvari beálló - megvásárolható" NA "nincs" "1.3 M Ft" NA NA NA
"5" "33.9" "40" "2" " 1. kerület, Krisztinaváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "7" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "egy helyiségben" "dél" "udvari" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA "nincs" NA NA NA NA
"6" "48" "60" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "utcai" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "5 m²" "nincs" "4.5 M Ft" "21 000 Ft/hó" NA NA
"7" "159" "117" "3" " 5. kerület, Vécsey utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"8" "89.5" "103" "3" " 8. kerület, Józsefváros – Palotanegyed " "felújított" NA "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m vagy magasabb" "gázkazán" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA "van" NA NA NA NA
"9" "139.99" "111" "4" " 2. kerület, Tölgyfa utca 26. " "újszeru" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA NA NA
"10" "39.4" "43" "2" " 13. kerület, Béke Residence " "új építésu" "2022" "összkomfortos" "nincs megadva" "2" "9" "van" "3 m-nél alacsonyabb" "mennyezeti hutés-futés" "igen" "nincs megadva" "észak" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "7.62 m²" NA "2.99 M Ft" NA "Béke Residence" NA
"11" "85.95" "85" "3" " 11. kerület, Madárhegy " "befejezetlen" NA "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "25 m²" NA "4 M Ft" NA NA NA
"12" "40.9" "53" "2" " 2. kerület, Fény utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" "nem" "külön helyiségben" "délkelet" "udvari" "nem" "nincs megadva" "utca, közterület - ingyenes" NA "van" NA NA NA NA
"13" "155" "110" "3" " 6. kerület, Andrássy út " "felújított" NA "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"14" "38.5" "68" "3" " 11. kerület, Regos köz " "jó állapotú" "1981-2000 között" "összkomfortos" "DD" "8" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "utca, közterület" "6 m²" "van" NA "12 000 Ft/hó" NA "részt vett"
"15" "70.22" "83" "3" " 3. kerület, Óbuda – Filatorigát " "befejezetlen" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko), házközponti" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "9 m²" NA "3.85 M Ft" NA NA NA
"16" "31.4" "40" "2" " 17. kerület, Rákoskeresztúr " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" "6 m²" NA NA NA NA NA
"17" "42.9" "62" "2" " 9. kerület, Mester utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "6" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" NA NA NA NA
"18" "154.9" "137" "3" " 5. kerület, Balassi Bálint utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "nincs megadva" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA NA
"19" "94.27" "72" "3" " 3. kerület, Forest Hill Lakópark " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nincs megadva" "udvari" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" "83.7 m²" NA "4.5 M Ft" NA "Forest Hill Lakópark" NA
"20" "12.9" "22" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs" NA "18 000 Ft/hó" NA NA
