"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "epites_eve" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "22.5" "46" "2" " 10. kerület, Jegenye utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "38" "56" "1" " 8. kerület, Bérkocsis utca 19. " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "74.11" "55" "2" " 6. kerület, Jókai tér " "nincs megadva" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"4" "93" "106" "3" " 6. kerület, Nagymezo utca " "felújított" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" NA NA NA NA
"5" "45" "66" "2" " 8. kerület, Kenyérmezo utca " "felújított" "duplakomfortos" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" "30 000 Ft/hó" NA NA
"6" "31.5" "42" "1" " 6. kerület, Szív utca 3-5 " "felújított" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "32 000 Ft/hó" NA NA
"7" "139.88" "100" "4" " 5. kerület, Károly körút " "nincs megadva" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "61" "68" "2" " 1. kerület, Pauler utca " "felújított" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA
"9" "71.75" "76" "3" " 9. kerület, Középso-Ferencváros – Malmok " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (cirko)" "nincs" "igen" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" NA "1950 elott" NA "3 000 Ft/hó" NA
"10" "47" "88" "3" " 8. kerület, Józsefváros – Orczynegyed " "jó állapotú" "duplakomfortos" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön helyiségben" "észak" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "2001-2010 között" "22 000 Ft/hó" NA NA
"11" "98" "104" "4" " 7. kerület, Sajó utca " "újszeru" "duplakomfortos" "AA++" "5" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "délkelet" "udvari" "nem" "tetotéri" "teremgarázs hely" "45 m²" "2014" NA NA NA
"12" "29.99" "38" "1" " 6. kerület, Szondi utca 54. " "felújítandó" "komfortos" "nincs megadva" "5" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "1950 elott" NA NA NA
"13" "19.3" "35" "1" " 10. kerület, Téglagyárdulo " "felújított" "félkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nem" "nincs megadva" "udvari beálló - benne van az árban" NA "1950-1980 között" NA NA NA
"14" "35" "61" "2" " 10. kerület, Harmat utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" NA NA NA "részt vett"
"15" "71.5" "140" "4" " 15. kerület, Rákospalota " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "27 m²" "2019" NA NA NA
"16" "39.8" "61" "2" " 7. kerület, Rákóczi út " "jó állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA "1950 elott" NA NA NA
