"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "erkely"
"1" "39.9" "69" "3" " 3. kerület, Kerék utca 24. " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "35.9" "55" "2" " 13. kerület, Futár utca " "felújított" "összkomfortos" "nincs megadva" "4" "5" "nincs megadva" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1981-2000 között" NA NA NA
"3" "149.9" "155" "4" " 5. kerület, Szervita tér " "közepes állapotú" "duplakomfortos" "nincs megadva" "2" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "van" "58 000 Ft/hó" NA
"4" "29.9" "65" "2" " 8. kerület, Baross utca 125. " "felújított" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "északnyugat" "udvari" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "van" NA NA
"5" "44.9" "72" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "jó állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA
"6" "35.9" "53" "2" " 11. kerület, Albertfalva " "jó állapotú" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" "udvari beálló - benne van az árban" "1981-2000 között" "van" NA "5.2 m²"
"7" "89.9" "139" "5" " 12. kerület, Városmajor utca " "jó állapotú" "duplakomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "nem" "legfelso emelet, nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" NA NA "3 m²"
"8" "22.8" "36" "2" " 8. kerület, Lujza utca 12. " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"9" "12.9" "28" "1" " 4. kerület, Perényi Zsigmond utca " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA NA
"10" "59.9" "43" "2" " 1. kerület, Mihály utca " "felújított" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "tetotéri" NA "nincs megadva" "1950 elott" "van" NA "3 m²"
"11" "69.9" "57" "2" " 11. kerület, Lépés utca " "új építésu" "luxus" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "megújuló energia" "nem" "nincs megadva" "délkelet" "panorámás" "nem" "nem tetotéri" NA "önálló garázs - benne van az árban" "2019" NA NA "20 m²"
"12" "26.99" "56" "2" " 3. kerület, Jendrassik György utca 3. " "felújítandó" "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"13" "31.9" "53" "2" " 15. kerület, Rákospalota – Énekes utcai lakótelep " "felújított" "nincs megadva" "nincs megadva" "4" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" "1950-1980 között" "van" NA "4 m²"
"14" "50.9" "69" "3" " 4. kerület, Csíksomlyó utca " "újszeru" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "nyugat" "kertre nézo" "nem" "nem tetotéri" NA "udvari beálló - benne van az árban" "2001-2010 között" "nincs" NA "9 m²"
"15" "27.9" "28" "1" " 7. kerület, Dohány utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "nincs megadva" "délkelet" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"16" "40.9" "58" "1" " 8. kerület, II. János Pál pápa tér " "felújított" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "igen" "nincs megadva" "nyugat" "utcai" "nem" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA
"17" "27.9" "53" "2" " 4. kerület, Istvántelki út " "jó állapotú" "összkomfortos" "nincs megadva" "5" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "délnyugat" "panorámás" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "1981-2000 között" NA NA "5 m²"
"18" "168.59" "159" "5" " 7. kerület, Kertész utca " "felújított" "nincs megadva" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
"19" "36.9" "41" "1" " 6. kerület, Zichy Jeno utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA NA
"20" "23.9" "54" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "32 000 Ft/hó" "4 m²"
