"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"1" "25.59" "59" "2" " 21. kerület, Csepel-Erdosor-lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"2" "43.9" "50" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"3" "36.3" "40" "1" " 2. kerület, Kacsa utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"4" "89.5" "77" "2" " 5. kerület, Váci utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"5" "169.9" "136" "4" " 5. kerület, Akadémia utca " "felújítandó" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nyugat" "utcai" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" "35 000 Ft/hó" NA NA NA
"6" "44.9" "63" "2" " 3. kerület, Tímár utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "129.9" "91" "3" " 5. kerület, Szent István körút " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA "van" NA NA
"8" "25.8" "47" "2" " 15. kerület, Zsókavár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nem" "nincs megadva" "utca, közterület" NA NA "részt vett" NA
"9" "33.2" "51" "1" " 8. kerület, Rákóczi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "30.6" "40" "1" " 13. kerület, Dózsa György út " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "igen" "nincs megadva" "udvari beálló - bérelheto" NA NA NA NA
"11" "35.9" "68" "2.5" " 14. kerület, Alsórákos " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "4.5 m²" "nem" "nem tetotéri" "udvari beálló - kötelezo megvenni" NA "nincs" NA "1 M Ft"
"12" "36.3" "73" "3" " 3. kerület, Békásmegyeri lakótelep hegy felol " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "nincs megadva" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "2.64 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "nincs megadva" "3.4 M Ft"
"13" "62.5" "65" "2" " 6. kerület, Andrássy út " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "45.9" "45" "2" " 13. kerület, Angyalföld – Loportárdulo " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "udvari" NA "nem" "nem tetotéri" "nincs megadva" "35 000 Ft/hó" "nincs" NA NA
"15" "1" "3404" "10" " 4. kerület, Chinoin utca 3. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "31.3" "52" "3" " 10. kerület, Óhegy park " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA "nincs" NA NA
"17" "35.9" "59" "2" " 9. kerület, Ifjúmunkás utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "van" "nincs megadva" NA
"18" "29.5" "57" "2" " 3. kerület, Bálint György utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "panorámás" NA "nem" "nincs megadva" "utca, közterület - ingyenes" NA "nincs" "nem vett részt" NA
"19" "31.5" "53" "2" " 14. kerület, Nagy Lajos király útja 37. " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "20 000 Ft/hó" "nincs" "nincs megadva" NA
"20" "38" "44" "2" " 7. kerület, Király utca 21. " "nincs megadva" NA "komfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "13 000 Ft/hó" "nincs" NA NA
