"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "erkely"
"1" "21.2" "35" "1" " 10. kerület, Téglagyárdulo " "közepes állapotú" "1950-1980 között" "félkomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "229" "177" "5" " 1. kerület, Országház utca " "felújított" NA "duplakomfortos" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA
"3" "82" "60" "2" " 5. kerület, Egyetem tér " "felújított" NA "összkomfortos" "nincs megadva" "1" "5" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"4" "32.9" "50" "2" " 3. kerület, Vörösvári út " "jó állapotú" NA "összkomfortos" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "8 000 Ft/hó" "részt vett" NA
"5" "59.9" "60" "2" " 5. kerület, Lipótváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"6" "31.9" "32" "1" " 13. kerület, Vág utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" "5 800 Ft/hó" NA NA
"7" "69.9" "55" "2" " 6. kerület, Király utca " "felújított" NA "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "nincs megadva" "van" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "10 500 Ft/hó" NA NA
"8" "84.3" "96" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" NA "duplakomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"9" "65" "89" "3" " 2. kerület, Frankel Leó út " "felújítandó" "1950 elott" "összkomfortos" "D" "3" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"10" "37.9" "46" "1" " 11. kerület, Szentimreváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "58.8" "110" "3" " 7. kerület, Külso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "49.9" "77" "2" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "2 m²"
"13" "74.9" "68" "3" " 6. kerület, Jókai tér " "nincs megadva" NA "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "északnyugat" "udvari" "igen" "nem tetotéri" "nincs megadva" NA NA "20 m²"
"14" "38.49" "48" "1" " 11. kerület, Kelenföld " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
