"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "panelprogram"
"1" "129" "130" "3" " 2. kerület, Felhévíz " "felújított" "luxus" "AA++" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "igen" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "234" "140" "5" " 2. kerület, Guyon Richárd utca 8. " "újszeru" "luxus" "AA+" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "megújuló energia, mennyezeti hutés-futés" "van" "igen" "külön és egyben is" "nincs megadva" "nincs megadva" "nem" "nem tetotéri" "udvari beálló" "2019" "16 m²" NA NA
"3" "67" "92" "3" " 2. kerület, Víziváros " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"4" "33.3" "63" "2" " 10. kerület, Szent László tér " "felújított" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "délkelet" "panorámás" "nem" NA "utca, közterület - ingyenes" "1981-2000 között" NA "9 000 Ft/hó" NA
"5" "116.84" "87" "3" " 1. kerület, Lánchíd utca " "felújított" "összkomfortos" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti" "van" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" NA "8 m²" NA NA
"6" "57.5" "77" "3" " 13. kerület, Angyalföld " "felújított" "nincs megadva" "nincs megadva" "4" "6" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "2001-2010 között" "3.5 m²" NA NA
"7" "73.65" "85" "3.5" " 2. kerület, Országút " "nincs megadva" "nincs megadva" "nincs megadva" "3" "7" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "8 m²" NA NA
"8" "79" "104" "3" " 14. kerület, Vezér utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "29.5" "50" "2" " 3. kerület, Hollós Korvin Lajos utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "5 m²" "9 000 Ft/hó" "részt vett"
"10" "72.9" "175" "4" " 8. kerület, Elnök utca 22. " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "délnyugat" "utcai" "igen" "nem tetotéri" "utca, közterület" "1950 elott" "15 m²" NA NA
"11" "38.9" "124" "5" " 10. kerület, Harmat utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA "7 m²" NA NA
"12" "170.26" "121" "4" " 2. kerület, Nagybányai út " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nincs megadva" "nincs megadva" "dél" "panorámás" "nincs megadva" "nincs megadva" "önálló garázs - benne van az árban" NA "25 m²" NA NA
"13" "62.5" "90" "3" " 8. kerület, Józsefváros – Palotanegyed " "felújítandó" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"14" "43.9" "65" "2" " 8. kerület, József körút " "nincs megadva" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "nincs" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"15" "58" "75" "3" " 13. kerület, Angyalföld " "újszeru" "luxus" "nincs megadva" "2" "3" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "2011" "8 m²" NA NA
"16" "44.9" "87" "3" " 8. kerület, Baross utca 86. " "közepes állapotú" "összkomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "14 000 Ft/hó" NA
"17" "41" "65" "2" " 6. kerület, Aradi utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA "15 000 Ft/hó" NA
"18" "62.5" "60" "2" " 13. kerület, Balzac utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"19" "149.9" "131" "4" " 13. kerület, Klapka utca " "újszeru" "összkomfortos" "nincs megadva" "6" "7" "van" "nincs megadva" "házközponti egyedi méréssel" NA "igen" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "nincs megadva" "teremgarázs hely" "2020" "33 m²" NA NA
"20" "23.5" "33" "1" " 14. kerület, Rózsavölgyi tér " "közepes állapotú" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA NA
