"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "rezsikoltseg" "panelprogram" "lakopark_neve" "parkolohely_ara"
"1" "69" "101" "2" " 8. kerület, Somogyi Béla utca " "felújított" "nincs megadva" "nincs megadva" "1" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "35.8" "50" "1" " 13. kerület, Fivér utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "kertre nézo" "2 m²" "nem" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" "nincs" NA NA NA NA
"3" "49.4" "78" "3" " 15. kerület, József Attila utca " "új építésu" "luxus" "nincs megadva" "földszint" "2" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nincs megadva" "nincs megadva" "kertre nézo" "7 m²" "igen" "nem tetotéri" "utca, közterület" "2019" NA "12 000 Ft/hó" NA NA NA
"4" "89.9" "83" "4" " 11. kerület, Hosszúréti utca " "jó állapotú" "nincs megadva" "nincs megadva" "1" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "17 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely" "2001-2010 között" "van" NA NA NA NA
"5" "47.9" "72" "2" " 8. kerület, Rigó utca " "felújított" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" "van" NA NA NA NA
"6" "25.9" "49" "2" " 10. kerület, Kovágó utca " "jó állapotú" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "dél" "panorámás" "3 m²" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "részt vett" NA NA
"7" "35" "51" "2" " 14. kerület, Bagolyvár utca 3/B " "felújított" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön helyiségben" "dél" "udvari" "1 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "35 000 Ft/hó" NA NA NA
"8" "39.9" "70" "3" " 13. kerület, Hun utca " "jó állapotú" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "hoszivattyú, házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" "1950-1980 között" "van" NA "részt vett" NA NA
"9" "112" "86" "3" " 5. kerület, Szemere utca 23. " "felújított" "luxus" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "távfutés" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "van" NA NA NA NA
"10" "24.7" "35" "1" " 4. kerület, Rózsa utca " "felújított" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "egy helyiségben" "nyugat" "panorámás" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA "nem vett részt" NA NA
