"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "legkondicionalo" "rezsikoltseg" "parkolohely_ara"
"1" "86" "67" "3" " 5. kerület, Belváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "38" "51" "2" " 14. kerület, Nagy Lajos király útja " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "34.9" "69" "3" " 15. kerület, Nyírpalota út " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "8 m²" "nincs megadva" NA NA NA
"4" "48" "58" "1" " 11. kerület, Szabolcska Mihály utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs" "20 161 Ft/hó" NA
"5" "74.4" "87" "2" " 11. kerület, Ulászló utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "teremgarázs hely - bérelheto" "4 m²" NA "nincs" "30 000 Ft/hó" "20 000 Ft/hó"
"6" "51" "74" "2" " 17. kerület, Óvóno utca 21. " "újszeru" "2019" "luxus" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "padlófutés, mennyezeti hutés-futés" "nem" "külön és egyben is" "délnyugat" "udvari" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "30 m²" NA "van" NA NA
"7" "34.9" "49" "1" " 9. kerület, Balázs Béla utca 10/b " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "délnyugat" "udvari" "nincs megadva" "tetotéri" "utca, közterület" NA NA "nincs" "30 000 Ft/hó" NA
"8" "49.9" "69" "2" " 14. kerület, Thököly út 174. " "újszeru" "2016" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "fan-coil, padlófutés" "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "van" NA NA
"9" "18.5" "23" "1" " 13. kerület, Forgách utca " "felújítandó" "1950-1980 között" "összkomfortos" "EE" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" "nem" "nem tetotéri" "utca, közterület" NA NA "nincs" NA NA
"10" "54" "50" "2" " 3. kerület, Pusztakúti út " "újszeru" "2001-2010 között" "luxus" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "egy helyiségben" "délkelet" "panorámás" "nem" "penthouse" "teremgarázs hely - megvásárolható" "56 m²" NA NA NA NA
"11" "57.9" "48" "2" " 6. kerület, Lázár utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "gáz (konvektor), elektromos" "igen" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "15 000 Ft/hó" NA
