"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "erkely" "panelprogram"
"1" "21.5" "25" "1" " 6. kerület, Szinyei Merse Pál utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "25 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "26" "27" "1" " 7. kerület, Dembinszky utca " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "47.9" "67" "2" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" "3 m²" "nincs megadva"
"4" "108" "108" "4" " 12. kerület, Galgóczy utca " "közepes állapotú" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "házközponti" "65 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "panorámás" "igen" "nincs megadva" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "34 m²" NA
"5" "20" "40" "1" " 20. kerület, Vörösmarty utca " "jó állapotú" "komfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "1950-1980 között" NA NA NA
"6" "10.9" "20" "1" " 18. kerület, Szélso utca " "közepes állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "elektromos" NA "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "igen" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"7" "31.9" "57" "2" " 21. kerület, Csepel-Belváros " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "6 m²" NA
"8" "34.5" "48" "2" " 11. kerület, Albertfalvai lakótelep " "felújított" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "nincs megadva"
"9" "55" "65" "2" " 6. kerület, Eötvös utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"10" "24.6" "58" "2" " 21. kerület, József Attila utca 69. " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "3 m²" "nincs megadva"
