"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "39.9" "65" "2" " 13. kerület, Tisza utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "egy helyiségben" "északkelet" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"2" "41.9" "38" "2" " 5. kerület, Honvéd utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "6" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "20 000 Ft/hó" NA NA NA NA
"3" "46.8" "55" "2" " 3. kerület, Hunor utca " "nincs megadva" "2020" "nincs megadva" "nincs megadva" "nincs megadva" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely" NA "4.33 m²" NA NA NA
"4" "64.98" "91" "2" " 11. kerület, Kanizsai utca 5. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "5 m²" NA NA NA
"5" "23.9" "39" "1" " 8. kerület, Kiss József utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "igen" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"6" "34.9" "56" "2" " 8. kerület, Futó utca 54. " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "kelet" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" "16 000 Ft/hó" NA "nincs" "1 500 Ft/hó" NA
"7" "35.8" "41" "1" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "12 000 Ft/hó" NA "nincs" NA NA
"8" "52.9" "63" "3" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "nem" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - kötelezo megvenni" "30 000 Ft/hó" "4 m²" NA "2 M Ft" NA
"9" "53.9" "78" "3" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "5 m²" NA NA NA
"10" "119.9" "155" "5" " 9. kerület, Ferenc körút " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "25 Ft/hó" NA "van" NA NA
"11" "26.3" "49" "2" " 20. kerület, Topánka utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA "7 m²" "van" NA NA
"12" "62.8" "80" "3" " 14. kerület, Vágújhely utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - benne van az árban" "25 000 Ft/hó" "7 m²" "van" NA NA
"13" "42.9" "60" "2" " 3. kerület, Tavasz utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" NA "nincs megadva" NA "3 m²" NA NA NA
"14" "68.8" "70" "3" " 13. kerület, Turóc utca " "nincs megadva" "2001-2010 között" "duplakomfortos" "nincs megadva" "5" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "13 m²" "van" NA NA
"15" "199" "180" "4" " 23. kerület, Soroksár – Vargatelep " "újszeru" "2019" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"16" "125" "141" "5" " 11. kerület, Kelenföld " "nincs megadva" "2020" "duplakomfortos" "nincs megadva" "2" "3" "nincs megadva" "3 m-nél alacsonyabb" "egyéb kazán" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA "30 m²" "van" "3 M Ft" NA
"17" "35" "48" "2" " 14. kerület, Szikszó park " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" NA "utca, közterület" "35 000 Ft/hó" NA "van" NA NA
"18" "33.9" "35" "1" " 8. kerület, Gyulai Pál utca 12. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "fan-coil, gáz (konvektor)" "igen" "egy helyiségben" "délnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület - ingyenes" "10 500 Ft/hó" NA "van" NA NA
"19" "31.5" "37" "1" " 11. kerület, Olajbogyó utca 6. " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "19 000 Ft/hó" "6 m²" "van" NA NA
"20" "24.99" "52" "2" " 21. kerület, Csepel-Belváros " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA "nincs megadva"
