"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "38.4" "35" "1" " 3. kerület, Óbuda-Óváros " "új építésu" "2020" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "egy helyiségben" "dél" "udvari" "4 m²" "nem" "nem tetotéri" "önálló garázs - megvásárolható" NA NA
"2" "27.9" "41" "2" " 13. kerület, Tahi utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "távfutés" "van" "nincs megadva" "külön helyiségben" "dél" "nincs megadva" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"3" "135" "132" "3" " 13. kerület, Újpesti rakpart " "felújított" NA "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "panorámás" NA "nem" "nem tetotéri" "nincs megadva" "50 000 Ft/hó" NA
"4" "79.9" "84" "3" " 1. kerület, Csalogány utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "külön helyiségben" "kelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "37 000 Ft/hó" NA
"5" "63.9" "71" "2" " 12. kerület, Tartsay Vilmos utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "dél" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"6" "34" "35" "1" " 11. kerület, Tóberek utca " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "fan-coil" "van" "igen" "külön helyiségben" "dél" "panorámás" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"7" "59.99" "68" "3" " 8. kerület, Somogyi Béla utca 22. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nem" "külön helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"8" "32.9" "64" "2" " 14. kerület, Nagyzugló " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "2 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"9" "48.9" "54" "1" " 2. kerület, Vérhalom utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"10" "59.5" "79" "2" " 2. kerület, Széll Kálmán tér " "felújított" NA "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "17 000 Ft/hó" NA
