"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "erkely" "rezsikoltseg" "lakopark_neve" "parkolohely_ara"
"1" "47.3" "75" "3" " 4. kerület, Káposztásmegyer I. lakótelep " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nem" "külön helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "169" "103" "4" " 13. kerület, Danubius utca " "nincs megadva" "luxus" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "nincs megadva" "külön és egyben is" "délnyugat" "panorámás" "nincs megadva" "nem tetotéri" NA "teremgarázs hely" "2019" "130 m²" NA NA NA
"3" "38.9" "53" "2" " 7. kerület, Lövölde tér " "közepes állapotú" "duplakomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "igen" "külön helyiségben" "kelet" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA "40 000 Ft/hó" NA NA
"4" "29.5" "28" "1" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1981-2000 között" "4 m²" NA NA NA
"5" "112" "56" "2" " 5. kerület, Nyáry Pál utca 9. " "közepes állapotú" "komfortos" "F" "2" "3" "van" "3 m vagy magasabb" "gáz (cirko), gáz (konvektor)" NA "nem" "külön és egyben is" "nyugat" "udvari" "nincs megadva" "nem tetotéri" NA "utca, közterület" "1950 elott" NA NA NA NA
"6" "49.9" "64" "2" " 8. kerület, Kálvária tér " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" NA "utca, közterület" "1950-1980 között" "10 m²" "40 000 Ft/hó" NA NA
"7" "25.9" "47" "2" " 15. kerület, Újpalota " "jó állapotú" "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "igen" "egy helyiségben" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület" NA NA NA NA NA
"8" "42.9" "65" "2" " 7. kerület, Király utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (konvektor)" "van" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA NA NA NA NA
"9" "48.9" "61" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "nincs megadva" "1950 elott" NA NA NA NA
"10" "27.9" "52" "2" " 15. kerület, Nyírpalota út " "közepes állapotú" "nincs megadva" "nincs megadva" "földszint" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA NA NA NA
