"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "29.95" "48" "2" " 16. kerület, Sashalom – Nagyiccetelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"2" "149.85" "110" "3" " 3. kerület, Nagyszombat utca " "felújított" "2001-2010 között" "duplakomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "nincs megadva" "igen" "külön és egyben is" "északkelet" "panorámás" "22 m²" "nincs megadva" "nem tetotéri" "teremgarázs hely - megvásárolható" "van" NA NA NA
"3" "27.9" "50" "3" " 3. kerület, Juhász Gyula utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés" "igen" "nincs megadva" "nincs megadva" "panorámás" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"4" "72.9" "114" "4" " 12. kerület, Királyhágó tér " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"5" "38.89" "62" "4" " 13. kerület, Faludi utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "északkelet" "udvari" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "nem vett részt" NA NA
"6" "34.9" "55" "2" " 14. kerület, Újvidék utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" NA NA NA
"7" "37.9" "43" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"8" "33.9" "54" "2" " 11. kerület, Tétényi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA NA
"9" "24.3" "49" "2" " 10. kerület, Kobánya – Újhegyi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "2 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nem vett részt" "10 500 Ft/hó" NA
"10" "34.99" "49" "2" " 3. kerület, Szolo utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "részt vett" NA NA
"11" "85" "92" "3" " 13. kerület, Kucsma utca " "újszeru" "2001-2010 között" "luxus" "CC" "4" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön és egyben is" "délnyugat" "panorámás" "60 m²" "nem" "legfelso emelet, nem tetotéri" "teremgarázs hely - kötelezo megvenni" "nincs" NA "25 480 Ft/hó" "7 M Ft"
"12" "26.5" "35" "1" " 4. kerület, Rózsa utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "van" "nincs megadva" "25 000 Ft/hó" NA
"13" "21" "36" "1" " 8. kerület, Nagy Fuvaros utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délnyugat" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"14" "27.2" "50" "2" " 22. kerület, Budatétény – Rózsakert utcai lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "2.8 m²" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA "nincs megadva" "9 000 Ft/hó" NA
