"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "42.8" "75" "3" " 17. kerület, Látóhegy utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "20 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"2" "49.9" "65" "3" " 11. kerület, Bártfai utca 42. " "felújított" "1950-1980 között" "összkomfortos" "AA+" "1" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "35 000 Ft/hó" "részt vett"
"3" "23.9" "53" "2" " 21. kerület, Kossuth Lajos utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett"
"4" "34.9" "30" "1" " 6. kerület, Külso-Terézváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"5" "24.5" "67" "2" " 13. kerület, Kresz Géza utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "40 000 Ft/hó" NA
"6" "78.6" "131" "4" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"7" "42.78" "71" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"8" "34.81" "59" "2" " 8. kerület, Józsefváros – Csarnoknegyed " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"9" "27.9" "32" "1" " 8. kerület, Józsefváros – Csarnoknegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület" "8 000 Ft/hó" NA
"10" "29.9" "50" "1" " 14. kerület, Rákosfalva " "nincs megadva" "1981-2000 között" "összkomfortos" "E" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "igen" "külön helyiségben" "dél" "panorámás" "2 m²" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "nem vett részt"
