"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram"
"1" "189" "121" "3" " 6. kerület, Andrássy út 54. " "nincs megadva" "2020" "duplakomfortos" "A+" "5" "5" "van" "3 m vagy magasabb" "hoszivattyú, mennyezeti hutés-futés" "van" "30 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "panorámás" "18 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"2" "137" "69" "3" " 6. kerület, Andrássy út 54. " "nincs megadva" "2020" "duplakomfortos" "A+" "5" "5" "van" "3 m vagy magasabb" "hoszivattyú, mennyezeti hutés-futés" "van" "20 000 Ft/hó" "igen" "külön helyiségben" "dél" "panorámás" "20 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"3" "46" "65" "2" " 7. kerület, Középso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
"4" "24.2" "31" "1" " 3. kerület, Királyok útja " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "nincs megadva" "távfutés egyedi méréssel" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva"
"5" "138" "69" "3" " 6. kerület, Andrássy út 54. " "nincs megadva" "2020" "duplakomfortos" "A+" "5" "5" "van" "3 m-nél alacsonyabb" "hoszivattyú, mennyezeti hutés-futés" "van" "20 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "18 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"6" "109.99" "112" "4" " 6. kerület, Jókai utca " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" "26 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA
"7" "235" "130" "4" " 6. kerület, Andrássy út 54. " "nincs megadva" "2020" "duplakomfortos" "A+" "5" "5" "van" "3 m vagy magasabb" "hoszivattyú, mennyezeti hutés-futés" "van" "30 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "panorámás" "34 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"8" "107" "66" "3" " 6. kerület, Andrássy út 54. " "nincs megadva" "2020" "duplakomfortos" "A+" "5" "5" "van" "3 m vagy magasabb" "hoszivattyú, mennyezeti hutés-futés" "van" "20 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "panorámás" "17 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"9" "26.49" "40" "1" " 13. kerület, Fiastyúk utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "utca, közterület" NA
"10" "28.9" "27" "1" " 7. kerület, Péterfy Sándor utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA
"11" "111" "69" "3" " 6. kerület, Andrássy út 54. " "nincs megadva" "2020" "duplakomfortos" "A+" "5" "5" "van" "3 m vagy magasabb" "hoszivattyú, mennyezeti hutés-futés" "van" "20 000 Ft/hó" "igen" "külön helyiségben" "délkelet" "panorámás" "18 m²" "nem" "tetotéri" "utca, közterület - ingyenes" NA
"12" "56.35" "46" "2" " 2. kerület, II/A kerület – Budaliget " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "megújuló energia" NA NA "nincs megadva" "nincs megadva" "délkelet" "kertre nézo" "8 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" NA
