"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram"
"1" "53.9" "61" "3" " 13. kerület, Hajdú utca " "jó állapotú" "2011" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nem" "nincs megadva" "nincs megadva" NA NA
"2" "44.69" "44" "2" " 13. kerület, Tahi utca " "nincs megadva" NA "komfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "8.55 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"3" "59.9" "48" "2" " 13. kerület, Újlipótváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "gáz (konvektor)" "40 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" NA NA
"4" "59.9" "54" "3" " 13. kerület, Jakab József utca " "újszeru" "2019" "nincs megadva" "nincs megadva" "5" "8" "van" "nincs megadva" "házközponti egyedi méréssel" "45 000 Ft/hó" "igen" "nincs megadva" "nincs megadva" "nincs megadva" "13 m²" "nem" "nincs megadva" "nincs megadva" NA NA
"5" "24.5" "51" "2" " 3. kerület, Hatvany Lajos utca " "felújítandó" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "külön helyiségben" "északnyugat" "kertre nézo" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "nem vett részt"
"6" "49.9" "58" "3" " 13. kerület, Rokolya utca " "újszeru" "2011" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "távfutés egyedi méréssel" "40 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nem" "nincs megadva" "nincs megadva" NA NA
"7" "14.5" "35" "1" " 20. kerület, Hatvani utca " "felújítandó" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" NA "igen" "nincs megadva" "nincs megadva" NA NA
"8" "35.5" "58" "2" " 13. kerület, Üteg utca " "felújított" NA "komfortos" "nincs megadva" "5" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "kelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" "van" "nem vett részt"
"9" "21.9" "53" "1" " 18. kerület, Baross utca 102. " "felújítandó" "1950-1980 között" "komfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "11 760 Ft/hó" "nincs megadva" "külön helyiségben" "délnyugat" "kertre nézo" "4 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA
"10" "28" "49" "2" " 21. kerület, Vénusz utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
