"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg"
"1" "44.99" "49" "2" " 1. kerület, Váralja utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "6" "van" "nincs megadva" "gáz (cirko)" "igen" "nincs megadva" "nincs megadva" "udvari" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA
"2" "68.9" "71" "3" " 5. kerület, Belváros " "közepes állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "dél" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA NA NA
"3" "35" "48" "2" " 3. kerület, Búvár utca 1. " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem" "nincs megadva" "nincs megadva" NA "4 m²" "nincs megadva" NA
"4" "59" "54" "2" " 11. kerület, Ulászló utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m-nél alacsonyabb" "távfutés, távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA "20 000 Ft/hó"
"5" "84" "91" "3" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "2 m²" NA NA
"6" "43.95" "69" "3" " 3. kerület, Óbudai lakótelep " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "részt vett" NA
"7" "41.2" "52" "2" " 14. kerület, Pósa Lajos utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "utca, közterület" "nincs" "4 m²" NA NA
"8" "37.9" "43" "2" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "125" "95" "4" " 5. kerület, Semmelweis utca " "felújított" "1950 elott" "összkomfortos" "CC" "4" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "külön és egyben is" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA "30 000 Ft/hó"
"10" "27.9" "57" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "jó állapotú" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" NA
"11" "56.9" "77" "3" " 11. kerület, Harcos tér " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA "12 m²" NA NA
