"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "panelprogram" "parkolohely_ara"
"1" "37.9" "45" "1" " 8. kerület, Jázmin utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "25 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"2" "42" "48" "2" " 11. kerület, Kelenföld " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"3" "53" "103" "3" " 8. kerület, Józsefváros – Népszínháznegyed " "felújítandó" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "17 000 Ft/hó" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"4" "52.9" "47" "2" " 11. kerület, Nagyszeben út " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "20 000 Ft/hó" "igen" "egy helyiségben" "dél" "kertre nézo" "igen" "nem tetotéri" "utca, közterület - ingyenes" "14 m²" NA NA
"5" "58.2" "91" "3" " 18. kerület, Ganz-kertváros " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" NA "nem" "egy helyiségben" "kelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" "57 m²" NA NA
"6" "34.9" "52" "2" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" NA "nem" "egy helyiségben" "délkelet" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA NA NA
"7" "27.2" "31" "2" " 7. kerület, Külso-Erzsébetváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "4" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "15 000 Ft/hó" "nem" "egy helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"8" "44.5" "47" "1" " 5. kerület, Szemere utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "5" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA NA
"9" "44.8" "57" "2" " 6. kerület, Szondi utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "15 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"10" "38.9" "67" "2" " 16. kerület, Rákosszentmihály – Pálya utcai lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "van" NA "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" "4 m²" "nem vett részt" NA
"11" "1.95" "624" "11" " 1. kerület, Országház utca " "felújított" "2001-2010 között" "luxus" "nincs megadva" "4" "4" "van" "3 m vagy magasabb" "nincs megadva" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "penthouse" "teremgarázs hely - benne van az árban" "33 m²" NA NA
"12" "33.5" "65" "2" " 4. kerület, Káposztásmegyer I. lakótelep " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "6" "8" "van" "3 m-nél alacsonyabb" "távfutés" NA NA "igen" "nincs megadva" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"13" "79.9" "101" "2" " 13. kerület, Pozsonyi út " "jó állapotú" NA "összkomfortos" "nincs megadva" "6" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "észak" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"14" "59.9" "72" "3" " 13. kerület, Hegedus Gyula utca " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "egyéb" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"15" "68.9" "80" "4" " 11. kerület, Szentimreváros " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "8" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "2.5 m²" NA NA
"16" "59.5" "87" "3" " 14. kerület, Istvánmezo " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "nem" "külön és egyben is" "délnyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"17" "29" "39" "1" " 11. kerület, Mezokövesd út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "14 000 Ft/hó" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" "nem" "nincs megadva" "utca, közterület" NA NA NA
"18" "160" "130" "4" " 6. kerület, Paulay Ede utca " "felújított" "1950 elott" "luxus" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"19" "20.3" "43" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "10 m²" NA NA
"20" "29.9" "52" "2" " 10. kerület, Lavotta utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nem" "egy helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "5 m²" NA "3.8 M Ft"
