"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "parkolohely_ara"
"1" "34.9" "60" "2" " 4. kerület, Nyár utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m vagy magasabb" "távfutés" "van" "22 000 Ft/hó" "nem" "külön helyiségben" "dél" "utcai" "3 m²" "nem" "nem tetotéri" "nincs megadva" "utca, közterület - ingyenes" NA
"2" "25.49" "52" "1" " 21. kerület, Szent László utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "van" NA "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" NA "utca, közterület - ingyenes" NA
"3" "29.99" "63" "2" " 21. kerület, Krizantém utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA NA "nem" "külön helyiségben" "dél" "kertre nézo" "4 m²" "nincs megadva" "nincs megadva" "részt vett" "utca, közterület - ingyenes" NA
"4" "23.99" "52" "2" " 8. kerület, Századosnegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - ingyenes" NA
"5" "78.9" "110" "3" " 6. kerület, Podmaniczky utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nem tetotéri" NA "nincs megadva" NA
"6" "109.89" "116" "4" " 6. kerület, Belso-Terézváros " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "egyéb" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "28 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"7" "29.9" "39" "1" " 9. kerület, Egyetértés utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "nincs megadva" NA
"8" "26.5" "68" "2" " 21. kerület, Csepel-Belváros " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "nem" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" NA
"9" "32.5" "53" "2" " 14. kerület, Szikszó park " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" NA "nem" "egy helyiségben" "délnyugat" "panorámás" "4 m²" "nem" NA NA "utca, közterület - ingyenes" NA
"10" "99.95" "85" "5" " 6. kerület, Szív utca 66. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" NA "nem" "külön és egyben is" "nincs megadva" "utcai" "2 m²" "nincs megadva" "nincs megadva" NA "utca, közterület" NA
