"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "73" "105" "2" " 6. kerület, Kmety György utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "47.49" "68" "2" " 3. kerület, Pacsirtamezo utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "3 m²" NA NA NA
"3" "130" "58" "2" " 5. kerület, Kossuth Lajos tér " "felújított" NA "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" "van" "7 m²" NA NA NA
"4" "44.5" "68" "2" " 3. kerület, Gyógyszergyár utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "nincs megadva" NA NA "nincs megadva" NA NA
"5" "44.8" "81" "4" " 13. kerület, Angyalföld – Országbíró utcai lakótelep " "jó állapotú" NA "nincs megadva" "nincs megadva" "félemelet" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" "4 m²" "nincs megadva" NA NA
"6" "32.7" "52" "2" " 8. kerület, Bauer Sándor utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "északnyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" NA NA NA NA
"7" "29.5" "34" "1" " 3. kerület, Váradi utca 2-8 " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA "25 000 Ft/hó" NA
"8" "69.9" "92" "3" " 11. kerület, Dayka Gábor utca 30. " "közepes állapotú" "1981-2000 között" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "önálló garázs - megvásárolható" "van" "18 m²" NA NA "5 M Ft"
"9" "29.9" "53" "2" " 15. kerület, Zsókavár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA "részt vett" NA NA
"10" "29.5" "69" "3" " 3. kerület, Kerék utca " "felújítandó" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés" "igen" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva" NA NA
"11" "44.9" "45" "1" " 13. kerület, Balzac utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "gázkazán" "nem" "egy helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "8 000 Ft/hó" NA
"12" "88" "110" "3" " 8. kerület, Józsefváros – Corvinnegyed " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"13" "34.9" "35" "1" " 13. kerület, Balzac utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "gázkazán" "nem" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "8 000 Ft/hó" NA
"14" "54.9" "56" "2" " 8. kerület, Józsefváros – Palotanegyed " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA NA "35 000 Ft/hó" NA
"15" "86.9" "107" "3" " 12. kerület, Királyhágó utca " "felújított" NA "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "nincs megadva" "elektromos" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA NA
"16" "155" "111" "3" " 11. kerület, Gellérthegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "16 m²" NA NA NA
"17" "80" "80" "2" " 13. kerület, Balzac utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "gázkazán" "nem" "külön és egyben is" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "15 000 Ft/hó" NA
"18" "19.9" "35" "1" " 20. kerület, Határ út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "nyugat" "utcai" "igen" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"19" "38.5" "46" "2" " 13. kerület, Országbíró utca " "felújítandó" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "utcai" "igen" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA NA NA
"20" "155" "111" "3" " 11. kerület, Gellérthegy " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán" "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - benne van az árban" "van" NA NA NA NA
