"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "lakopark_neve" "parkolohely_ara" "panelprogram"
"1" "53.9" "51" "2" " 7. kerület, Belso-Erzsébetváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "elektromos" "13 000 Ft/hó" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "52.5" "87" "3" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "28 000 Ft/hó" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA NA
"3" "30.49" "58" "2" " 13. kerület, Angyalföld " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "22 000 Ft/hó" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA NA
"4" "39.9" "46" "2" " 8. kerület, Horánszky utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "20 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"5" "139.5" "185" "5" " 1. kerület, Víziváros " "jó állapotú" "1950 elott" "összkomfortos" "BB" "1" "5" "van" "3 m vagy magasabb" "gáz (konvektor), cserépkályha" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "7 m²" NA NA NA
"6" "137.06" "156" "4" " 3. kerület, MyCity Residence " "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "külön és egyben is" "délkelet" "nincs megadva" "nincs megadva" "legfelso emelet, nem tetotéri" "teremgarázs hely - megvásárolható" NA "134.65 m²" "MyCity Residence" "4.6 M Ft" NA
"7" "89.9" "113" "3" " 7. kerület, Erzsébet körút " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "35 000 Ft/hó" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs" "6 m²" NA NA NA
"8" "71.2" "80" "3" " 3. kerület, MyCity Residence " "új építésu" "2019" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "külön helyiségben" "nincs megadva" "udvari" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "5.93 m²" "MyCity Residence" "4.6 M Ft" NA
"9" "61.9" "83" "2" " 11. kerület, Karinthy Frigyes út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"10" "59.9" "72" "3" " 2. kerület, Margit körút " "jó állapotú" NA "nincs megadva" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "5 m²" NA NA NA
"11" "83.99" "100" "4" " 3. kerület, MyCity Residence " "új építésu" "2020" "nincs megadva" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "MyCity Residence" NA NA
"12" "32.9" "28" "1" " 13. kerület, Béke utca 7. " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "20 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" NA "10 m²" NA NA NA
