"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "rezsikoltseg" "legkondicionalo"
"1" "158.07" "121" "3" " 6. kerület, Belso-Terézváros " "nincs megadva" "2019" "duplakomfortos" "AA++" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "nincs megadva" "udvari" "59 m²" "nem" "tetotéri" "utca, közterület" NA NA NA
"2" "26" "46" "1" " 14. kerület, Cserto utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"3" "29.99" "21" "1" " 1. kerület, Fo utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "észak" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"4" "21.9" "35" "1" " 16. kerület, Lándzsa utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"5" "25.4" "43" "1" " 18. kerület, Margó Tivadar utca " "jó állapotú" NA "összkomfortos" "EE" "félemelet" "4" "nincs" "nincs megadva" "gázkazán" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "18 000 Ft/hó" NA
"6" "60" "79" "2" " 6. kerület, Szondi utca 40. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "északkelet" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" NA "32 000 Ft/hó" "nincs"
"7" "35.4" "49" "2" " 3. kerület, Óbudai lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA NA
"8" "32.9" "49" "2" " 11. kerület, Etele út " "felújított" NA "nincs megadva" "nincs megadva" "3" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs megadva" "10 200 Ft/hó" NA
"9" "64.8" "74" "3" " 7. kerület, Nyár utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "észak" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "26.8" "44" "2" " 8. kerület, Illés utca 36. " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - fizetos övezet" NA NA "nincs"
"11" "36.9" "53" "2" " 8. kerület, Kerepesdulo " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"12" "79.9" "102" "3" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északkelet" "utcai" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"13" "89.9" "72" "3" " 2. kerület, Garas utca 12. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "kertre nézo" "17 m²" "igen" "nem tetotéri" "utca, közterület" NA NA NA
"14" "30.3" "47" "1" " 16. kerület, Futórózsa utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nincs megadva" "udvari" "2 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA "nincs"
"15" "53" "49" "1" " 3. kerület, Nánási út 2. " "nincs megadva" "2001-2010 között" "összkomfortos" "CC" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön helyiségben" "északkelet" "udvari" "4 m²" "nem" "nem tetotéri" "nincs megadva" NA NA "van"
"16" "47" "81" "2" " 21. kerület, Csepel-Szabótelep " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA "nincs"
"17" "44" "86" "3" " 7. kerület, Külso-Erzsébetváros – Ligetváros " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA "17 000 Ft/hó" NA
"18" "26.5" "47" "2" " 15. kerület, Páskomliget utca " "felújított" NA "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA "van"
"19" "49" "79" "2" " 6. kerület, Podmaniczky utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "északnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA
"20" "39.9" "63" "2" " 14. kerület, Alsórákos – Kacsóh Pongrác úti lakótelep " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "nyugat" "panorámás" "4 m²" "nem" NA "utca, közterület - ingyenes" NA "40 000 Ft/hó" "van"
