"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "panelprogram" "erkely"
"1" "56.8" "71" "2" " 1. kerület, Vérmezo út " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "29.9" "51" "2" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújítandó" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "külön helyiségben" "kelet" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" "nem vett részt" NA
"3" "56" "57" "3" " 12. kerület, Sion lépcso " "felújított" "nincs megadva" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "28 000 Ft/hó" "nincs megadva" "nincs megadva" "északnyugat" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" "1981-2000 között" NA NA "6 m²"
"4" "36.9" "70" "4" " 16. kerület, Újmátyásföld " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "udvari" "nincs megadva" NA "nincs megadva" "1981-2000 között" NA NA NA
"5" "119" "93" "3" " 1. kerület, Logodi utca " "felújított" "összkomfortos" "AA" "3" "4" "van" "3 m vagy magasabb" "fan-coil, padlófutés" "21 000 Ft/hó" "nem" "külön és egyben is" "nyugat" "panorámás" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "van" NA "3 m²"
"6" "57.9" "65" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "távfutés" NA "igen" "külön helyiségben" "nyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA "4 m²"
"7" "60" "56" "2" " 13. kerület, Vizafogó – Marinapart " "jó állapotú" "összkomfortos" "nincs megadva" "3" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "19 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "van" NA "12 m²"
"8" "48.9" "74" "2" " 11. kerület, Gazdagréti lakótelep " "felújított" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA "nincs megadva" NA
"9" "64.9" "71" "2" " 6. kerület, Eötvös utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"10" "15" "42" "1" " 10. kerület, Tárna utca " "felújítandó" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "elektromos" NA "nem" "külön helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA NA NA
"11" "63.8" "82" "2" " 13. kerület, Újlipótváros " "felújítandó" "összkomfortos" "nincs megadva" "földszint" "4" "van" "nincs megadva" "házközponti" "30 000 Ft/hó" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"12" "73.7" "78" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA "3 m²"
"13" "34" "46" "1" " 13. kerület, Szabolcs utca " "újszeru" "összkomfortos" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "30 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - benne van az árban" "2001-2010 között" "van" NA NA
"14" "57.9" "65" "2" " 11. kerület, Lágymányos – Muegyetem környéke " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m vagy magasabb" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA "4 m²"
"15" "44.5" "54" "2" " 13. kerület, József Attila tér " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "1950-1980 között" NA NA "3 m²"
"16" "63.5" "72" "2" " 12. kerület, Böszörményi út " "jó állapotú" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA "2 m²"
"17" "54.9" "88" "3" " 9. kerület, Ülloi út " "közepes állapotú" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" "nincs" NA "4.5 m²"
