"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "panelprogram"
"1" "98" "104" "5" " 12. kerület, Virányos út " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "10 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"2" "83" "67" "3" " 5. kerület, Hercegprímás utca " "jó állapotú" "1950 elott" "luxus" "nincs megadva" "1" "7" "van" "3 m-nél alacsonyabb" "házközponti" "igen" "külön és egyben is" "északkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "32 000 Ft/hó" NA NA
"3" "23.6" "55" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "9" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "nincs megadva" "kertre nézo" "5 m²" "nincs megadva" NA "nincs megadva" NA "van" NA
"4" "54.9" "69" "2" " 10. kerület, Kobánya – Óhegy " "újszeru" "2001-2010 között" "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "délnyugat" "udvari" NA "igen" "nincs megadva" "teremgarázs hely - benne van az árban" "27 000 Ft/hó" "van" NA
"5" "44.9" "47" "2" " 12. kerület, Tállya utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"6" "149" "146" "5" " 2. kerület, Trombitás út " "felújított" "1981-2000 között" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "dél" "panorámás" "6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" "30 000 Ft/hó" "van" NA
"7" "98.9" "173" "5" " 8. kerület, Józsefváros – Népszínháznegyed " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "27.9" "28" "1" " 11. kerület, Gazdagréti tér " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "délnyugat" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva"
"9" "53.9" "116" "3" " 16. kerület, Cinkota " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"10" "41" "38" "1" " 13. kerület, Újlipótváros " "felújított" NA "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "kelet" "udvari" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
