"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "77.9" "93" "2" " 13. kerület, Váci út " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "kelet" "panorámás" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "69.9" "90" "2" " 13. kerület, Balzac utca " "felújítandó" NA "összkomfortos" "nincs megadva" "5" "4" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"3" "302.13" "281" "9" " 6. kerület, Hajós utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "32.9" "66" "3" " 3. kerület, Boglár utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nem" "külön helyiségben" "kelet" "kertre nézo" "6 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nem vett részt" NA NA
"5" "99.9" "122" "4" " 9. kerület, Belso-Ferencváros " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön és egyben is" "délnyugat" "utcai" NA "igen" "nem tetotéri" "nincs megadva" "van" NA "30 000 Ft/hó" NA
"6" "178" "121" "3" " 5. kerület, Lipótváros " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "4" "van" "nincs megadva" "mennyezeti hutés-futés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "30 m²" "nincs megadva" "nincs megadva" "nincs megadva" "van" NA NA NA
"7" "76.8" "98" "4" " 6. kerület, Külso-Terézváros " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "18 000 Ft/hó" NA
"8" "32.3" "58" "2" " 13. kerület, Babér utca " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "nyugat" "utcai" NA "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "nem vett részt" NA NA
"9" "36.9" "63" "2" " 14. kerület, Alsórákos " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" "3.5 m²" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "van" NA NA "2.5 M Ft"
"10" "30.66" "55" "3" " 22. kerület, Nagytétény – Bartók Béla úti lakótelep " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "8 m²" "nem" NA "udvari beálló - benne van az árban" NA NA "10 000 Ft/hó" NA
"11" "25.9" "54" "2" " 18. kerület, Havanna-lakótelep " "felújított" "1950-1980 között" "összkomfortos" "CC" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "nem tetotéri" "utca, közterület" NA "részt vett" NA NA
"12" "101" "96" "3" " 1. kerület, Krisztinaváros – Naphegy " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "5" "nincs" "3 m vagy magasabb" "házközponti egyedi méréssel" "nem" "nincs megadva" "délnyugat" "nincs megadva" "10 m²" "nem" "nem tetotéri" "nincs megadva" NA NA NA NA
"13" "29.5" "45" "2" " 19. kerület, József Attila utca " "újszeru" "2019" "összkomfortos" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "10 m²" "igen" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "84.9" "102" "3" " 6. kerület, Jókai utca 20. " "újszeru" "2018" "duplakomfortos" "nincs megadva" "5" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" "5 m²" "nem" "nincs megadva" "nincs megadva" "van" NA NA NA
"15" "37.5" "45" "1" " 12. kerület, Krisztinaváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "4" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délkelet" "panorámás" NA "nem" "nem tetotéri" "utca, közterület" NA NA NA NA
"16" "99" "156" "5" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA NA NA
"17" "51" "75" "3" " 17. kerület, Rákoscsaba " "újszeru" "2019" "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "3 m-nél alacsonyabb" "padlófutés, mennyezeti hutés-futés" "nincs megadva" "külön és egyben is" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" "udvari beálló - benne van az árban" "van" NA NA NA
"18" "31.9" "51" "2" " 21. kerület, Bajcsy-Zsilinszky út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" NA "20 000 Ft/hó" NA
"19" "22.9" "35" "1" " 21. kerület, Erdosor utca " "felújított" NA "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "egy helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "nincs megadva" "20 000 Ft/hó" NA
