"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "lakopark_neve" "parkolohely_ara" "panelprogram"
"1" "65" "61" "3" " 3. kerület, Nánási út 2. " "újszeru" "2001-2010 között" "nincs megadva" "nincs megadva" "3" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "11 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "64.5" "76" "3" " 2. kerület, Fillér utca " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"3" "94.9" "91" "3" " 5. kerület, Stollár Béla utca " "felújított" "1950 elott" "duplakomfortos" "GG" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délkelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "8 798 Ft/hó" NA NA NA
"4" "49.9" "54" "2" " 13. kerület, Dagály utca 2. " "felújított" "1950-1980 között" "összkomfortos" "CC" "7" "8" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "kelet" "utcai" "5 m²" "nem" NA "utca, közterület" "van" "20 000 Ft/hó" NA NA NA
"5" "59.9" "68" "2" " 2. kerület, Sövény utca " "felújított" NA "nincs megadva" "nincs megadva" "földszint" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "20 m²" "igen" "nincs megadva" "utca, közterület - ingyenes" "van" "10 500 Ft/hó" NA NA NA
"6" "25.2" "38" "1" " 14. kerület, Amerikai út 87. " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "egy helyiségben" "északnyugat" "utcai" NA "nem" "tetotéri" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" NA NA NA
"7" "57.9" "63" "4" " 6. kerület, Izabella utca 85. " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "4" "van" "3 m vagy magasabb" "gáz (cirko), padlófutés" "nem" "külön és egyben is" "nincs megadva" "udvari" "5 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"8" "41.8" "72" "3" " 7. kerület, Jósika utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "udvari" NA "igen" "nincs megadva" "udvari beálló - benne van az árban" "van" NA NA NA NA
"9" "52.5" "64" "3" " 14. kerület, Paskal Rose " "új építésu" "2019" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "nincs megadva" "16 m²" "nem" "nem tetotéri" "teremgarázs hely - megvásárolható" NA NA "Paskal Rose" "3 M Ft" NA
"10" "117.5" "77" "3" " 1. kerület, Toldy 19 " "új építésu" "2020" "összkomfortos" "nincs megadva" "földszint" "5" "van" "nincs megadva" "megújuló energia, mennyezeti hutés-futés" "igen" "külön helyiségben" "délnyugat" "utcai" "10 m²" "igen" "nincs megadva" "teremgarázs hely - megvásárolható" "van" NA "Toldy 19" "4.5 M Ft" NA
