"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "rezsikoltseg" "legkondicionalo" "panelprogram" "parkolohely_ara"
"11" "29.3" "51" "2" " 3. kerület, Juhász Gyula utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "igen" "külön helyiségben" "nyugat" "kertre nézo" "4 m²" "nincs megadva" "utca, közterület - ingyenes" "nem tetotéri" NA NA "nincs megadva" NA
"12" "149.8" "117" "4" " 13. kerület, Petneházy utca " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "7" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú" "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" "116 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "penthouse" NA NA NA "4 M Ft"
"13" "28.9" "56" "2" " 10. kerület, Népliget " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "északkelet" "utcai" "2 m²" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA NA NA
"14" "83" "106" "4" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "utca, közterület - fizetos övezet" "legfelso emelet, nem tetotéri" NA "van" NA NA
"15" "166" "149" "4" " 11. kerület, Gellérthegy " "felújított" NA "duplakomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "igen" "önálló garázs" "nincs megadva" NA NA NA NA
"16" "28.1" "51" "2" " 8. kerület, Szigony utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "4 m²" "nincs megadva" "utca, közterület - ingyenes" "nem tetotéri" NA "nincs" "nem vett részt" NA
"17" "37.9" "58" "2" " 13. kerület, Angyalföld – Loportárdulo " "nincs megadva" NA "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"18" "32" "32" "1" " 11. kerület, Bocskai út " "jó állapotú" NA "összkomfortos" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" NA "nincs megadva" "udvari beálló - bérelheto" "nincs megadva" NA NA NA NA
"19" "54.9" "58" "2" " 12. kerület, Kútvölgy " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "dél" "panorámás" "7.5 m²" "nem" "udvari beálló - benne van az árban" "nem tetotéri" NA NA NA NA
"20" "68.9" "79" "2" " 12. kerület, Márvány utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" NA "nincs megadva" "utca, közterület" "nincs megadva" "30 000 Ft/hó" NA NA NA
