"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "28" "46" "2" " 17. kerület, Pesti út 99. " "jó állapotú" "1981-2000 között" "összkomfortos" "C" "5" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"2" "30.99" "28" "1" " 9. kerület, Ráday utca 26. " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "udvari beálló" "15 000 Ft/hó" NA NA NA
"3" "27.9" "35" "1" " 13. kerület, Tomori utca 19. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "van" "nincs megadva" "nincs megadva" "kelet" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület" NA "részt vett" NA NA
"4" "27.9" "37" "1" " 10. kerület, Tavas utca 3/a " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs" "nem" "egy helyiségben" "kelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "15 000 Ft/hó" NA NA NA
"5" "79.9" "78" "3" " 13. kerület, Szegedi út " "újszeru" "2018" "nincs megadva" "nincs megadva" "3" "7" "van" "nincs megadva" "házközponti egyedi méréssel" "van" "igen" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely" "39 000 Ft/hó" NA "10 m²" NA
"6" "97" "93" "3" " 3. kerület, Királylaki út " "újszeru" "2011" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gázkazán" "van" "nem" "egy helyiségben" "északkelet" "kertre nézo" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "60 000 Ft/hó" NA "60 m²" NA
"7" "23.7" "35" "1" " 19. kerület, Csokonai utca 22. " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "10" "több mint 10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" "4 m²" NA
"8" "41.9" "50" "1" " 8. kerület, Ülloi út 14. " "felújított" NA "nincs megadva" "nincs megadva" "5" "5" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"9" "29.5" "45" "1" " 14. kerület, Szonyi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "3 m²" NA
"10" "30.9" "51" "2" " 3. kerület, Szentendrei út " "jó állapotú" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "nincs megadva" NA "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA NA
"11" "31.5" "51" "2" " 3. kerület, Jendrassik György utca " "felújított" "1981-2000 között" "összkomfortos" "CC" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "nem" "külön helyiségben" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "részt vett" "4 m²" NA
"12" "25" "39" "1" " 9. kerület, Epreserdo utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "4" "5" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "egy helyiségben" "nyugat" "panorámás" "nincs megadva" NA "utca, közterület" "8 739 Ft/hó" NA "4 m²" NA
"13" "78.5" "94" "4" " 7. kerület, Rottenbiller utca " "újszeru" NA "luxus" "nincs megadva" "nincs megadva" "3" "van" "3 m vagy magasabb" "hoszivattyú" "van" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"14" "29.9" "54" "2" " 4. kerület, Lebstück Mária utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA
"15" "89.9" "85" "3" " 2. kerület, Vérhalom utca " "jó állapotú" "1981-2000 között" "összkomfortos" "DD" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "17 000 Ft/hó" NA "5 m²" "5 M Ft"
"16" "36.9" "55" "2" " 3. kerület, Torma Károly utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva" NA NA
"17" "31.5" "38" "2" " 14. kerület, Tábornok utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"18" "31.15" "36" "1" " 14. kerület, Kalauz utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "elektromos" "nincs" "nem" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA NA "4 m²" NA
"19" "37.5" "56" "2" " 4. kerület, Pálya utca " "jó állapotú" "1981-2000 között" "összkomfortos" "DD" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "10 000 Ft/hó" NA "1 m²" NA
"20" "49.9" "57" "3" " 10. kerület, Kobányai út " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "egy helyiségben" "dél" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" "30 000 Ft/hó" NA "14 m²" NA
