"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "legkondicionalo" "parkolohely_ara" "erkely" "panelprogram"
"1" "31.9" "61" "3" " 14. kerület, Istvánmezo " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "36.9" "39" "1" " 13. kerület, Hollán Erno utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "távfutés" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "30 000 Ft/hó" NA NA NA NA
"3" "45" "52" "2" " 9. kerület, Soroksári út 1-5 " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "8" "8" "van" "3 m vagy magasabb" "fan-coil" "nem" "külön és egyben is" "nincs megadva" "kertre nézo" "nem" "nincs megadva" "teremgarázs hely - megvásárolható" NA "van" "5 M Ft" NA NA
"4" "34.9" "32" "1" " 11. kerület, Kondorosi út " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "9 m²" NA
"5" "64.9" "62" "3" " 6. kerület, Bajcsy-Zsilinszky út " "újszeru" "2015" "összkomfortos" "nincs megadva" "4" "4" "van" "3 m-nél alacsonyabb" "fan-coil" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nem" "tetotéri" "utca, közterület - fizetos övezet" NA "van" NA NA NA
"6" "27.5" "37" "1" " 6. kerület, Bajnok utca 17. " "nincs megadva" NA "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"7" "85.9" "84" "3" " 5. kerület, Zoltán utca 6. " "nincs megadva" "1950 elott" "nincs megadva" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"8" "47.49" "70" "2" " 3. kerület, Pacsirtamezo utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" NA "van" NA "2 m²" NA
"9" "79" "92" "4" " 10. kerület, Újhegyi út 14. " "új építésu" "2018" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel, padlófutés" "nincs megadva" "külön helyiségben" "észak" "panorámás" "nem" "tetotéri" "udvari beálló - megvásárolható" NA NA "2 M Ft" "109.81 m²" NA
"10" "29.75" "51" "2" " 19. kerület, Felsokispest " "felújított" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA NA
"11" "35.9" "55" "2" " 9. kerület, Lobogó utca " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"12" "44.9" "65" "3" " 12. kerület, Nagyenyed utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs" NA "4 m²" NA
"13" "28" "47" "2" " 14. kerület, Nagy Lajos király útja " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "van" NA "1.5 m²" NA
"14" "32" "52" "2" " 9. kerület, Csengettyu utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "nincs megadva" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "van" NA "3 m²" "részt vett"
