"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "parkolas" "tetoter" "parkolohely_ara" "panelprogram"
"1" "59.9" "65" "2" " 13. kerület, Radnóti Miklós utca " "felújítandó" "1981-2000 között" "komfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs" "18 000 Ft/hó" "nincs megadva" "külön helyiségben" "dél" "utcai" "5 m²" "nem" "utca, közterület - fizetos övezet" NA NA NA
"2" "19.6" "38" "1" " 13. kerület, Csángó utca " "újszeru" "1950 elott" "összkomfortos" "nincs megadva" "szuterén" "2" "nincs megadva" "nincs megadva" "elektromos" NA NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "utca, közterület" "nincs megadva" NA NA
"3" "46.5" "49" "1" " 2. kerület, Páfrány út " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "13 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "6 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "nem tetotéri" "5 M Ft" NA
"4" "40" "52" "1" " 9. kerület, Középso-Ferencváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"5" "103" "93" "4" " 13. kerület, Rokolya utca " "újszeru" "2011" "nincs megadva" "nincs megadva" "4" "4" "van" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "külön és egyben is" "nyugat" "nincs megadva" "80 m²" "nincs megadva" "teremgarázs hely - megvásárolható" "penthouse" "3 M Ft" NA
"6" "24.5" "35" "1" " 15. kerület, Drégelyvár utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "3" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nem tetotéri" NA "nincs megadva"
"7" "26.5" "37" "2" " 14. kerület, Ráskay Lea utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "3" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" NA "nincs megadva" "utca, közterület - ingyenes" "nincs megadva" NA NA
"8" "28" "46" "2" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" NA "nincs megadva" "nincs megadva" "nem tetotéri" NA NA
"9" "41.99" "68" "3" " 18. kerület, Újpéteritelep " "újszeru" "2013" "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "házközponti egyedi méréssel" "van" NA "nincs megadva" "külön helyiségben" "nincs megadva" "udvari" "5 m²" "nincs megadva" "udvari beálló - benne van az árban" "nincs megadva" NA NA
"10" "24.9" "27" "1" " 6. kerület, Szondi utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs" NA "igen" "egy helyiségben" "északkelet" "udvari" NA "nem" "utca, közterület" "nem tetotéri" NA NA
