"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "panelprogram"
"1" "20" "24" "1" " 8. kerület, Józsefváros – Corvinnegyed " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "nyugat" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "73.9" "91" "3" " 2. kerület, Mechwart liget " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" NA NA NA NA
"3" "58.33" "83" "3" " 14. kerület, Törökor " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nem" NA "nincs megadva" "2 m²" "van" NA NA NA
"4" "21.9" "29" "1" " 20. kerület, Gubacs " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"5" "23.7" "39" "1" " 20. kerület, Téglagyár tér " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "félemelet" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - ingyenes" "2 m²" NA NA NA NA
"6" "21.9" "32" "1" " 10. kerület, Hatház utca " "nincs megadva" NA "nincs megadva" "JJ" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor), elektromos" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "16 000 Ft/hó" NA NA
"7" "119.9" "120" "4" " 5. kerület, Belváros " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "28 m²" NA NA NA NA
"8" "62.9" "69" "2" " 2. kerület, Tölgyfa utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "4 m²" NA NA NA NA
"9" "57.9" "94" "3" " 9. kerület, Angyal utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs" NA NA NA
"10" "23.9" "32" "1" " 13. kerület, Forgách utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "cserépkályha" "nem" "külön helyiségben" "kelet" "utcai" "nincs megadva" "legfelso emelet, nem tetotéri" "udvari beálló - benne van az árban" NA NA NA NA NA
