"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "rezsikoltseg" "erkely" "legkondicionalo" "panelprogram"
"1" "74" "79" "3" " 2. kerület, Országút " "felújított" "duplakomfortos" "nincs megadva" "szuterén" "4" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nyugat" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"2" "107.5" "73" "2" " 5. kerület, Akadémia utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" "31 000 Ft/hó" "6 m²" NA NA
"3" "80" "78" "3" " 12. kerület, Istenhegy – Diósárok " "jó állapotú" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "dél" "panorámás" "nem" "nem tetotéri" "önálló garázs - benne van az árban" NA NA "10 m²" NA NA
"4" "89" "127" "4" " 7. kerület, Nagy Diófa utca " "közepes állapotú" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön és egyben is" "délnyugat" "kertre nézo" "nincs megadva" "zárószint" "nincs megadva" NA "50 000 Ft/hó" "10 m²" NA NA
"5" "49.9" "49" "2" " 13. kerület, Tátra utca " "jó állapotú" "összkomfortos" "nincs megadva" "2" "5" "van" "nincs megadva" "nincs megadva" "nincs megadva" "egy helyiségben" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA "9 000 Ft/hó" NA NA NA
"6" "99" "114" "3" " 5. kerület, Belgrád rakpart " "nincs megadva" "nincs megadva" "nincs megadva" "3" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"7" "98" "94" "3" " 7. kerület, Belso-Erzsébetváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön helyiségben" "délnyugat" "udvari" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "1950 elott" NA NA "nincs" NA
"8" "74" "73" "3" " 2. kerület, Keleti Károly utca " "felújított" "duplakomfortos" "nincs megadva" "szuterén" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA NA
"9" "54" "70" "2" " 2. kerület, Víziváros " "felújított" "duplakomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" "1950 elott" NA NA NA NA
"10" "44" "82" "3" " 8. kerület, Szerdahelyi utca " "közepes állapotú" "duplakomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor), elektromos" "nem" "külön és egyben is" "délkelet" "utcai" "igen" "nem tetotéri" "utca, közterület" "1950 elott" "30 000 Ft/hó" "3.4 m²" "nincs" NA
