"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "erkely" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "15.3" "24" "1" " 19. kerület, Kispest-Óváros " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "igen" "egy helyiségben" "északnyugat" "udvari" "igen" "nem tetotéri" "utca, közterület" NA NA NA NA
"2" "150" "86" "3" " 11. kerület, Sashegy " "nincs megadva" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "36 m²" NA NA NA
"3" "22.5" "37" "1" " 20. kerület, Erzsébetfalva – Pesterzsébeti lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "igen" "külön helyiségben" "dél" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "6 m²" "23 000 Ft/hó" "nincs megadva" NA
"4" "33.9" "51" "1" " 11. kerület, Kelenföld " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "egy helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "6.5 m²" NA "nincs megadva" NA
"5" "73.7" "78" "3" " 11. kerület, Szentimreváros " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "3 m²" NA NA NA
"6" "41" "41" "1" " 3. kerület, Csillaghegy – Forrásliget-lakópark " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "van" "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" NA NA NA "3.5 M Ft"
"7" "27.5" "45" "2" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" "5 m²" NA "nincs megadva" NA
"8" "44" "49" "1" " 5. kerület, Lipótváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"9" "24.99" "51" "2" " 20. kerület, Kossuth Lajos utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "9" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön helyiségben" "kelet" "panorámás" "nem" NA "utca, közterület - ingyenes" "4 m²" NA NA NA
"10" "57.99" "93" "3" " 9. kerület, Páva utca " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"11" "42.49" "87" "3" " 14. kerület, Mexikói út " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "szuterén" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko), padlófutés" "nincs" "nincs megadva" "egy helyiségben" "északkelet" "kertre nézo" "nincs megadva" "nem tetotéri" "önálló garázs - benne van az árban" NA NA NA NA
"12" "50.75" "75" "3" " 13. kerület, Angyalföld " "újszeru" "2019" "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "3.62 m²" NA NA "3.8 M Ft"
"13" "69.6" "117" "4" " 8. kerület, Pál utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "nyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA NA
"14" "109.99" "112" "3" " 6. kerület, Belso-Terézváros " "újszeru" "2019" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "északnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "27 m²" NA NA NA
"15" "66.3" "78" "3" " 3. kerület, Óbuda-Óváros " "újszeru" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"16" "113.3" "74" "3" " 5. kerület, Veres Pálné utca " "nincs megadva" "2018" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "8 m²" NA NA NA
"17" "23.9" "28" "1" " 6. kerület, Szófia utca 33. " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "22 000 Ft/hó" NA NA
"18" "112" "108" "4" " 12. kerület, Árnyas út " "jó állapotú" "1981-2000 között" "luxus" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gázkazán" "van" "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" "nem" "nem tetotéri" "udvari beálló" "12 m²" "20 000 Ft/hó" NA NA
"19" "58" "70" "3" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "felújított" NA "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "van" "nem" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "3 m²" NA "nem vett részt" NA
"20" "49" "59" "2" " 12. kerület, Virányos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön és egyben is" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "4 m²" "11 000 Ft/hó" NA NA
