"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "rezsikoltseg"
"1" "28.7" "59" "2" " 15. kerület, Csobogós utca " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "10" "van" "nincs megadva" "házközponti" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "3 m²" "nem" "nem tetotéri" "nem vett részt" "utca, közterület - ingyenes" NA
"2" "52" "50" "2" " 5. kerület, Vámház körút 8. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nem" "külön és egyben is" "nincs megadva" "udvari" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"3" "53.9" "58" "2" " 12. kerület, Kiss János altábornagy utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "1" "4" "nincs" "nincs megadva" "gáz (konvektor), cserépkályha" "nincs" "nem" "egy helyiségben" "nincs megadva" "kertre nézo" NA "nincs megadva" "nem tetotéri" NA "utca, közterület" NA
"4" "26.7" "45" "1" " 18. kerület, Benedekfalva utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs" "nincs megadva" "házközponti" "nincs" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület" "30 000 Ft/hó"
"5" "61.5" "57" "2" " 11. kerület, Villányi út " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "külön és egyben is" "északkelet" "udvari" NA "nem" "nem tetotéri" NA "udvari beálló - bérelheto" NA
"6" "39.2" "38" "1" " 12. kerület, Csörsz utca " "közepes állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "7" "van" "nincs megadva" "házközponti" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "legfelso emelet, nem tetotéri" NA "utca, közterület" "27 000 Ft/hó"
"7" "27.9" "28" "1" " 3. kerület, Nánási út " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "20 000 Ft/hó"
"8" "126" "120" "3" " 1. kerület, Naphegy utca " "jó állapotú" NA "luxus" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "délkelet" "panorámás" "6 m²" "nem" "legfelso emelet, nem tetotéri" NA "teremgarázs hely" "48 000 Ft/hó"
"9" "33.9" "49" "1" " 14. kerület, Egressy út " "jó állapotú" "1950-1980 között" "összkomfortos" "D" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "északnyugat" "utcai" "1 m²" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "30 000 Ft/hó"
"10" "87" "72" "4" " 5. kerület, Vámház körút 8. " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "van" "nem" "külön és egyben is" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
"11" "49.3" "81" "3" " 3. kerület, Királyok útja " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs" "nem" "külön helyiségben" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nem tetotéri" "részt vett" "utca, közterület - ingyenes" NA
"12" "68.8" "98" "3" " 11. kerület, Bercsényi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" "14 500 Ft/hó"
"13" "29" "45" "2" " 10. kerület, Márga utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (cirko)" NA "igen" "egy helyiségben" "nincs megadva" "nincs megadva" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA
"14" "31.5" "39" "1" " 14. kerület, Erzsébet királyné útja " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "4" "nincs" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" NA "nincs megadva" "nem tetotéri" NA "utca, közterület - ingyenes" "20 000 Ft/hó"
"15" "137" "147" "4" " 11. kerület, Kelenhegyi út 24-26. " "felújítandó" "1950 elott" "összkomfortos" "GG" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön és egyben is" "dél" "kertre nézo" "7 m²" "igen" "nem tetotéri" NA "utca, közterület" NA
"16" "64.3" "60" "2" " 2. kerület, Kapás utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "1" "6" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "külön és egyben is" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"17" "51.99" "56" "1" " 1. kerület, Batthyány utca 49. " "jó állapotú" "1981-2000 között" "összkomfortos" "EE" "5" "5" "van" "3 m-nél alacsonyabb" "házközponti" "van" "nem" "egy helyiségben" "délnyugat" "utcai" NA "nem" "tetotéri" NA "utca, közterület - fizetos övezet" "22 000 Ft/hó"
"18" "39.9" "37" "1" " 3. kerület, Árpád fejedelem útja 64. " "felújított" "1950-1980 között" "összkomfortos" "BB" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "igen" "nincs megadva" "kelet" "panorámás" NA "nem" "nem tetotéri" NA "nincs megadva" "6 420 Ft/hó"
"19" "49.9" "73" "1" " 8. kerület, Rákóczi út 13. " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "egy helyiségben" "észak" "udvari" NA "nem" "nem tetotéri" NA "nincs megadva" "30 000 Ft/hó"
"20" "38.9" "42" "2" " 9. kerület, Angyal utca 41. " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs" "nem" "külön helyiségben" "nincs megadva" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - fizetos övezet" NA
