"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "parkolas" "tetoter" "rezsikoltseg" "panelprogram" "erkely" "parkolohely_ara"
"1" "19.9" "45" "2" " 15. kerület, Rákos út " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "utca, közterület" NA NA NA NA NA
"2" "68.5" "63" "3" " 12. kerület, Böszörményi út " "jó állapotú" NA "nincs megadva" "nincs megadva" "1" "5" "van" "nincs megadva" "nincs megadva" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület" "nincs megadva" NA NA NA NA
"3" "32.5" "67" "2" " 8. kerület, Illés utca " "felújított" "1950-1980 között" "összkomfortos" "AA++" "földszint" "2" "nincs" "3 m vagy magasabb" "elektromos" "nincs" "igen" "egy helyiségben" "északnyugat" "utcai" "nem" "utca, közterület" "nem tetotéri" "20 000 Ft/hó" NA NA NA
"4" "26" "53" "2" " 15. kerület, Páskomliget utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés" NA "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "utca, közterület - ingyenes" "nem tetotéri" "13 000 Ft/hó" "nincs megadva" NA NA
"5" "34.3" "65" "3" " 3. kerület, Kórház utca " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "9" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "utca, közterület - fizetos övezet" "nincs megadva" "35 000 Ft/hó" "nem vett részt" "4 m²" NA
"6" "45" "72" "3" " 17. kerület, Gombosi utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "30 Ft/hó" NA "8 m²" NA
"7" "15" "79" "2" " 3. kerület, Lajos utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"8" "35.9" "45" "1" " 7. kerület, Bajza utca 1. " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "8" "van" "nincs megadva" "házközponti egyedi méréssel, házközponti" "nincs" "nem" "egy helyiségben" "nincs megadva" "panorámás" "nem" "utca, közterület - ingyenes" "nem tetotéri" NA NA "4 m²" NA
"9" "15.6" "23" "1" " 20. kerület, Nagy Gyory István utca " "felújított" NA "összkomfortos" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "kertre nézo" "igen" "udvari beálló - benne van az árban" "nincs megadva" "10 000 Ft/hó" NA "50 m²" NA
"10" "94.9" "107" "3" " 2. kerület, Hárshegy " "jó állapotú" "2001-2010 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" NA NA "17 m²" NA
