"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "panelprogram"
"1" "46.9" "64" "2" " 8. kerület, Józsefváros – Orczynegyed " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "6" "van" "3 m-nél alacsonyabb" "házközponti" "nincs" "nem" "külön helyiségben" "dél" "utcai" "10 m²" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"2" "66.8" "92" "2" " 6. kerület, Munkácsy Mihály utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "cserépkályha" NA "nem" "külön helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA
"3" "22.4" "36" "1" " 20. kerület, Erzsébetfalva " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "nincs megadva" "egyéb" NA "nincs megadva" "egy helyiségben" "dél" "udvari" "10 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"4" "35" "39" "1" " 13. kerület, Tisza utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "11 000 Ft/hó" NA
"5" "189" "121" "4" " 6. kerület, Andrássy út " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "18.6 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"6" "107" "66" "3" " 6. kerület, Andrássy út " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "elektromos" NA "nincs megadva" "külön helyiségben" "délkelet" "panorámás" "16.8 m²" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA
"7" "28.9" "30" "1" " 7. kerület, Rákóczi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"8" "35.8" "41" "1" " 1. kerület, Krisztinaváros " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"9" "35.8" "41" "1" " 1. kerület, Krisztinaváros " "közepes állapotú" "1950-1980 között" "komfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nem" "nincs megadva" "nincs megadva" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület" NA NA
"10" "17.9" "29" "1" " 19. kerület, Felsokispest " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "nincs megadva" "földszintes" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "igen" "nincs megadva" "utca, közterület" NA NA
"11" "79.9" "100" "4" " 13. kerület, Pozsonyi út " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "50 000 Ft/hó" NA
