"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "erkely" "panelprogram" "parkolohely_ara"
"1" "27.9" "27" "1" " 11. kerület, Sasad " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA NA NA
"2" "42.9" "68" "3" " 11. kerület, Somogyi út " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" "nincs" "13 000 Ft/hó" "2 m²" NA NA
"3" "59.9" "97" "3" " 12. kerület, Maros utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"4" "29.8" "28" "1" " 11. kerület, Kelenföld " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"5" "28.4" "50" "2" " 9. kerület, Ülloi út " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA "3 m²" "nem vett részt" NA
"6" "63.9" "71" "2" " 12. kerület, Dolgos utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"7" "76.9" "66" "3" " 5. kerület, Henszlmann Imre utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m vagy magasabb" "elektromos" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"8" "73.9" "100" "3" " 11. kerület, Vásárhelyi Pál utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "5" "van" "nincs megadva" "házközponti" "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "2 m²" NA NA
"9" "80.9" "91" "3" " 3. kerület, Veder utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" NA NA "9 m²" NA "3.85 M Ft"
"10" "35" "43" "1" " 7. kerület, Jósika utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nyugat" "utcai" "nem" "legfelso emelet, nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"11" "53" "74" "2" " 11. kerület, Érdi út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nem" "zárószint" "udvari beálló - benne van az árban" NA NA "15 m²" NA NA
"12" "117" "149" "6" " 8. kerület, Múzeum utca " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "nincs megadva" "délnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA NA NA
"13" "35.8" "64" "3" " 14. kerület, Kalapács utca " "nincs megadva" NA "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA "3 m²" NA NA
"14" "95" "114" "2" " 5. kerület, Szent István körút " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "1" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "külön és egyben is" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" "nincs" NA NA NA NA
"15" "48.9" "56" "2" " 13. kerület, Petneházy utca " "jó állapotú" "2011" "nincs megadva" "nincs megadva" "3" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "igen" "külön és egyben is" "dél" "utcai" "nincs megadva" "nincs megadva" "teremgarázs hely - kötelezo megvenni" "van" "17 000 Ft/hó" "11 m²" NA "3.5 M Ft"
"16" "20.9" "46" "2" " 21. kerület, Csepel-Belváros " "felújítandó" "1981-2000 között" "nincs megadva" "nincs megadva" "7" "10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "nincs megadva" "délkelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA "nincs megadva" NA
"17" "32.9" "48" "2" " 9. kerület, Középso-Ferencváros – Malmok " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "udvari" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" NA NA NA NA
