"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "parkolohely_ara" "erkely" "panelprogram"
"1" "39.5" "44" "2" " 13. kerület, Hollán Erno utca " "közepes állapotú" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"2" "38.5" "27" "1" " 12. kerület, Maros utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA
"3" "26.89" "51" "1" " 8. kerület, Józsefváros – Magdolnanegyed " "felújított" NA "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA NA
"4" "99" "96" "3" " 5. kerület, Belgrád rakpart 26. " "felújított" "1950 elott" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "kelet" "utcai" "nem" "legfelso emelet, nem tetotéri" "udvari beálló - bérelheto" NA "40 000 Ft/hó" "4 000 Ft/hó" NA NA
"5" "199" "205" "4" " 12. kerület, Farkasvölgy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "40 m²" NA
"6" "199" "205" "4" " 12. kerület, Farkasvölgy " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "40 m²" NA
"7" "85.9" "75" "2" " 2. kerület, Országút " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA "35 m²" NA
"8" "26.5" "50" "2" " 4. kerület, Istvántelki út " "felújított" NA "összkomfortos" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (cirko)" "igen" "nincs megadva" "nyugat" "nincs megadva" "igen" "nem tetotéri" "nincs megadva" NA NA NA "4 m²" NA
"9" "74.9" "56" "2" " 13. kerület, Vizafogó – Marinapart " "felújított" "2001-2010 között" "luxus" "nincs megadva" "nincs megadva" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nyugat" "panorámás" "nem" "nincs megadva" "utca, közterület" "van" NA NA "19 m²" NA
"10" "34.9" "66" "2" " 15. kerület, Páskomliget utca " "felújított" NA "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA "nincs megadva"
"11" "31.5" "46" "2" " 16. kerület, Rákosszentmihály " "felújított" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA NA
"12" "62.6" "68" "3" " 3. kerület, Kaszásdulo – Filatorigát " "felújított" "2001-2010 között" "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "gáz (cirko)" "igen" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "4 m²" NA
