"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "rezsikoltseg" "erkely" "panelprogram"
"1" "30.9" "52" "2" " 8. kerület, Bauer Sándor utca " "felújítandó" "1950 elott" "komfortos" "nincs megadva" "félemelet" "6" "van" "3 m vagy magasabb" "gáz (konvektor)" "nincs" "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"2" "72.65" "84" "3" " 13. kerület, Hollán Erno utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" "nem" "nincs megadva" "délnyugat" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"3" "27.99" "32" "1" " 6. kerület, Felso erdosor " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "gáz (konvektor)" NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" "15 000 Ft/hó" NA NA
"4" "68.9" "65" "2" " 6. kerület, Aradi utca " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "félemelet" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"5" "45.9" "37" "1" " 5. kerület, Nyáry Pál utca " "felújított" NA "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m vagy magasabb" "házközponti" "nincs" "nem" "külön helyiségben" "északnyugat" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"6" "59" "92" "3" " 11. kerület, Karolina út " "nincs megadva" NA "összkomfortos" "nincs megadva" "1" "2" "nincs" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"7" "79" "83" "3" " 9. kerület, Viola utca " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nem" "nincs megadva" "délkelet" "kertre nézo" "igen" "nem tetotéri" "önálló garázs - megvásárolható" NA "15 m²" NA
"8" "79.9" "109" "3" " 13. kerület, Újlipótváros " "felújított" "1950 elott" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "észak" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "85" "88" "4" " 3. kerület, Hunor utca " "újszeru" "2012" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "délnyugat" "panorámás" "nincs megadva" "nincs megadva" "nincs megadva" NA "4 m²" NA
"10" "60" "63" "2" " 8. kerület, Józsefváros – Palotanegyed " "felújított" NA "duplakomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"11" "22.5" "38" "1" " 4. kerület, Zrínyi utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA
"12" "23.5" "47" "1" " 4. kerület, Károlyi István utca " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "dél" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület" NA NA NA
"13" "74.42" "116" "5" " 14. kerület, Nagy Lajos király útja " "jó állapotú" "1981-2000 között" "összkomfortos" "DD" "4" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" NA "nem" "nincs megadva" "délnyugat" "kertre nézo" "igen" "tetotéri" "utca, közterület" NA "4 m²" NA
"14" "34.9" "53" "2" " 11. kerület, Kelenföldi lakótelep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "6" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA "5 m²" "nincs megadva"
"15" "115" "90" "1" " 5. kerület, Apáczai Csere János utca " "felújított" "1950 elott" "komfortos" "nincs megadva" "1" "3" "nincs megadva" "3 m vagy magasabb" "egyéb" "nincs" "nem" "egy helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA NA NA
"16" "25.9" "53" "2" " 4. kerület, Lebstück Mária utca " "közepes állapotú" NA "összkomfortos" "nincs megadva" "1" "10" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA "nincs megadva" "nincs megadva" "kelet" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület" NA NA "nincs megadva"
"17" "69.23" "60" "2" " 11. kerület, Madárhegy " "nincs megadva" "2020" "összkomfortos" "AA+" "1" "2" "nincs" "3 m-nél alacsonyabb" "nincs megadva" "van" "nem" "külön és egyben is" "északnyugat" "panorámás" "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA "14.23 m²" NA
