"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "epites_eve" "legkondicionalo" "erkely" "parkolohely_ara"
"1" "41.5" "59" "2" " 3. kerület, Berend utca " "felújított" "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "30 000 Ft/hó" "nincs megadva" "külön helyiségben" "nyugat" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "37.2" "56" "2" " 13. kerület, Angyalföldi út " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "10" "van" "3 m-nél alacsonyabb" "távfutés" NA "nem" "nincs megadva" "nincs megadva" "utcai" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "1950-1980 között" NA NA NA
"3" "57" "95" "2" " 8. kerület, Blaha Lujza tér " "felújított" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" NA "udvari beálló - bérelheto" NA NA NA NA
"4" "26.9" "30" "1" " 13. kerület, Szekszárdi utca " "felújított" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" NA "igen" "egy helyiségben" "dél" "udvari" "nem" "nem tetotéri" NA "utca, közterület - ingyenes" "1950-1980 között" "van" NA NA
"5" "29" "28" "1" " 7. kerület, Középso-Erzsébetváros " "jó állapotú" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" "2001-2010 között" NA "2.5 m²" NA
"6" "50.9" "80" "3" " 6. kerület, Lövölde tér " "felújítandó" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA "8 m²" NA
"7" "29.9" "57" "2" " 3. kerület, Zemplén Gyozo utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" "nincs megadva" NA NA "1 m²" NA
"8" "41.9" "73" "2.5" " 13. kerület, Keszkeno utca " "felújított" "összkomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" NA "nem" "nincs megadva" "délnyugat" "udvari" "nem" "nem tetotéri" "nincs megadva" "utca, közterület" "1981-2000 között" NA NA NA
"9" "29.9" "57" "2" " 17. kerület, Rákoskeresztúri lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "délnyugat" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" "1981-2000 között" NA "3 m²" NA
"10" "23.5" "29" "1" " 8. kerület, Kiss József utca " "felújítandó" "összkomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "nincs megadva" "nincs megadva" NA "nincs megadva" NA NA NA NA
