"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram" "erkely"
"1" "49.49" "87" "3" " 13. kerület, Váci út 87. " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "gáz (cirko)" "van" "18 000 Ft/hó" "nem" "külön helyiségben" "nyugat" "utcai" "nem" "nem tetotéri" "utca, közterület" NA NA NA
"2" "41" "46" "2" " 9. kerület, Középso-Ferencváros – Rehabilitációs terület " "újszeru" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nem tetotéri" "teremgarázs hely - kötelezo megvenni" "4 M Ft" NA NA
"3" "78.9" "79" "2" " 5. kerület, Ferenciek tere " "jó állapotú" "1950 elott" "duplakomfortos" "nincs megadva" "3" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "20 000 Ft/hó" "igen" "külön helyiségben" "nincs megadva" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"4" "22.2" "35" "1" " 18. kerület, Havanna utca " "felújított" "1981-2000 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "nincs megadva" "távfutés egyedi méréssel" NA NA "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "nincs megadva" NA
"5" "48.4" "66" "4" " 8. kerület, Horánszky utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"6" "26.79" "35" "1" " 13. kerület, Gidófalvy Lajos utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "van" "7 900 Ft/hó" "nincs megadva" "egy helyiségben" "délkelet" "panorámás" "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület" NA "részt vett" NA
"7" "81.9" "125" "4" " 9. kerület, Bakáts tér " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"8" "29.9" "57" "2" " 8. kerület, Baross utca " "jó állapotú" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"9" "25.9" "28" "1" " 11. kerület, Nagyszeben tér " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "15 000 Ft/hó" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" NA
"10" "58" "86" "3" " 19. kerület, Bethlen Gábor utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "6 m²"
"11" "68" "135" "3" " 18. kerület, Galamb utca " "nincs megadva" "2019" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "nincs megadva" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "11 m²"
"12" "83.99" "57" "2" " 3. kerület, Mátyáshegy " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "dél" "panorámás" "igen" NA "nincs megadva" NA NA "23.45 m²"
"13" "63" "93" "3" " 7. kerület, Külso-Erzsébetváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "3 m vagy magasabb" "nincs megadva" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA
"14" "35.9" "52" "2" " 3. kerület, Békásmegyeri lakótelep hegy felol " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "házközponti" NA "10 000 Ft/hó" "nincs megadva" "külön helyiségben" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA "nincs megadva" NA
"15" "52.9" "59" "3" " 2. kerület, Margit körút " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs" "30 000 Ft/hó" "nem" "külön helyiségben" "dél" "utcai" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"16" "49.5" "53" "1" " 12. kerület, Kissvábhegy " "felújítandó" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "5" "nincs" "3 m-nél alacsonyabb" "házközponti" NA NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5 m²"
"17" "29.8" "38" "1" " 13. kerület, Reitter Ferenc utca " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "4" "5" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs" "23 000 Ft/hó" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA NA
"18" "39.9" "74" "3" " 12. kerület, Mártonhegy " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "földszint" "2" "van" "3 m-nél alacsonyabb" "gáz (cirko)" NA NA "nincs megadva" "nincs megadva" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA
"19" "32" "34" "1" " 12. kerület, Krisztinaváros " "jó állapotú" NA "nincs megadva" "nincs megadva" "földszint" "5" "nincs megadva" "3 m-nél alacsonyabb" "távfutés" NA NA "nincs megadva" "nincs megadva" "kelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"20" "23.5" "27" "1" " 9. kerület, Mester utca " "nincs megadva" "1981-2000 között" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs" NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "4 m²"
