"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "epites_eve" "erkely" "lakopark_neve" "parkolohely_ara"
"1" "47" "90" "2" " 6. kerület, Izabella utca " "felújítandó" "összkomfortos" "nincs megadva" "3" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nem" "egy helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "utca, közterület" NA NA NA NA NA NA NA
"2" "23.99" "54" "2" " 20. kerület, Pázsitos sétány " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "3 m-nél alacsonyabb" "nincs megadva" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" "nincs" "25 000 Ft/hó" "nincs megadva" NA NA NA NA
"3" "31.7" "57" "2" " 3. kerület, Jós utca " "felújított" "összkomfortos" "nincs megadva" "2" "10" "van" "nincs megadva" "távfutés egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "kertre nézo" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" NA "30 000 Ft/hó" "nincs megadva" NA NA NA NA
"4" "89.9" "54" "2" " 7. kerület, Király utca " "nincs megadva" "duplakomfortos" "nincs megadva" "3" "4" "van" "3 m-nél alacsonyabb" "gáz (cirko), fan-coil" "nincs megadva" "külön és egyben is" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" "van" NA NA "2016" NA NA NA
"5" "58.5" "60" "2" " 6. kerület, Aradi utca " "nincs megadva" "összkomfortos" "nincs megadva" "2" "nincs megadva" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA "5 m²" NA NA
"6" "149" "142" "3" " 12. kerület, Irhás árok " "nincs megadva" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "panorámás" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA "2018" "80 m²" NA NA
"7" "50.63" "58" "2" " 11. kerület, Kelenliget Ház " "új építésu" "nincs megadva" "nincs megadva" "földszint" "5" "van" "3 m vagy magasabb" "házközponti egyedi méréssel" "igen" "nincs megadva" "nyugat" "nincs megadva" "igen" "nincs megadva" "teremgarázs hely" "van" NA NA "2019" NA "Kelenliget Ház" NA
"8" "35" "78" "3" " 8. kerület, Kálvária utca " "jó állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "északkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA "27 000 Ft/hó" NA NA NA NA NA
"9" "104.9" "100" "3" " 1. kerület, Mészáros utca " "felújított" "luxus" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" "van" NA NA NA NA NA NA
"10" "47.5" "43" "2" " 5. kerület, Falk Miksa utca " "közepes állapotú" "összkomfortos" "nincs megadva" "4" "6" "van" "3 m vagy magasabb" "házközponti" "igen" "egy helyiségben" "kelet" "utcai" "nem" "nincs megadva" "utca, közterület - fizetos övezet" "nincs" "26 500 Ft/hó" NA "1950 elott" NA NA NA
