"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "erkely" "epites_eve" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "15.8" "26" "1" " 19. kerület, Vas Gereben utca " "jó állapotú" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "délkelet" "kertre nézo" "igen" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"2" "36.6" "56" "2" " 13. kerület, Angyalföldi út " "felújított" "nincs megadva" "nincs megadva" "5" "nincs megadva" "van" "nincs megadva" "nincs megadva" "igen" "külön helyiségben" "nincs megadva" "utcai" "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "van" "6 m²" NA NA NA NA
"3" "31.88" "43" "1" " 9. kerület, Középso-Ferencváros " "nincs megadva" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "nincs megadva" "egyéb" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA NA "2020" NA NA NA
"4" "36.5" "63" "2" " 9. kerület, Mester utca " "felújítandó" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m-nél alacsonyabb" "elektromos" "nem" "egy helyiségben" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "1950 elott" NA NA NA
"5" "62.9" "80" "3" " 6. kerület, Külso-Terézváros – Diplomatanegyed " "felújított" "duplakomfortos" "nincs megadva" "3" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA NA NA
"6" "190" "155" "5" " 3. kerület, Szépvölgyi út " "újszeru" "luxus" "nincs megadva" "2" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "külön és egyben is" "nincs megadva" "panorámás" "nem" "penthouse" "teremgarázs hely - megvásárolható" "van" "87 m²" "2001-2010 között" NA NA NA
"7" "27.9" "53" "2" " 4. kerület, Rózsa utca " "nincs megadva" "összkomfortos" "nincs megadva" "3" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület" NA NA NA "nincs megadva" NA NA
"8" "57.99" "93" "3" " 9. kerület, Páva utca " "jó állapotú" "duplakomfortos" "nincs megadva" "4" "4" "nincs" "3 m-nél alacsonyabb" "házközponti" "nem" "külön és egyben is" "délkelet" "utcai" "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA "1981-2000 között" NA NA NA
"9" "34.9" "72" "3" " 17. kerület, Rákoskeresztúr – Színes házak " "jó állapotú" "összkomfortos" "nincs megadva" "4" "5" "nincs megadva" "nincs megadva" "egyéb" "nincs megadva" "egy helyiségben" "nincs megadva" "panorámás" "nem" "nincs megadva" "utca, közterület - ingyenes" "nincs" "6 m²" "1981-2000 között" "nem vett részt" NA NA
"10" "89.9" "98" "3" " 3. kerület, Rómaifürdo – Rómaipart " "újszeru" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "nincs megadva" "gáz (cirko), padlófutés" "nincs megadva" "külön helyiségben" "délnyugat" "udvari" "igen" "nincs megadva" "teremgarázs hely" "van" NA "2001-2010 között" NA NA NA
"11" "59.99" "61" "2" " 2. kerület, Boróka utca " "felújítandó" "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "panorámás" "nem" "nem tetotéri" "önálló garázs - megvásárolható" "nincs" "3 m²" NA NA NA NA
"12" "69" "98" "4" " 16. kerület, Rákosszentmihály " "nincs megadva" "duplakomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön és egyben is" "délnyugat" "nincs megadva" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" "van" "40 m²" "2019" NA NA NA
"13" "51" "104" "4" " 14. kerület, Zalán utca 23. " "felújított" "nincs megadva" "nincs megadva" "4" "4" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "külön és egyben is" "nincs megadva" "nincs megadva" "nincs megadva" "tetotéri" "nincs megadva" NA NA "1981-2000 között" NA NA NA
"14" "24.84" "26" "1" " 7. kerület, Külso-Erzsébetváros " "felújított" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "kelet" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "nincs" NA "1950 elott" NA "27 000 Ft/hó" NA
"15" "29.9" "60" "2" " 10. kerület, Ligettelek " "közepes állapotú" "nincs megadva" "nincs megadva" "2" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "4 m²" "1950-1980 között" "nincs megadva" NA NA
"16" "54.9" "62" "3" " 13. kerület, Hollán Erno utca " "felújított" "összkomfortos" "nincs megadva" "2" "4" "van" "3 m vagy magasabb" "nincs megadva" "nem" "külön helyiségben" "nyugat" "udvari" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA NA "1950 elott" NA NA NA
"17" "55" "82" "4" " 11. kerület, Albertfalva " "nincs megadva" "összkomfortos" "nincs megadva" "4" "8" "van" "3 m-nél alacsonyabb" "hoszivattyú" "igen" "külön és egyben is" "délkelet" "panorámás" "nem" "nem tetotéri" "udvari beálló - megvásárolható" NA "12 m²" "2020" NA NA "1.5 M Ft"
"18" "29.89" "55" "2" " 13. kerület, Taksony utca " "jó állapotú" "összkomfortos" "nincs megadva" "félemelet" "4" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "udvari" "igen" "nem tetotéri" "udvari beálló - bérelheto" "nincs" "5 m²" "1950-1980 között" NA NA NA
"19" "38.5" "74" "3" " 8. kerület, Vajda Péter utca " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "utcai" "nincs megadva" "nincs megadva" "udvari beálló - benne van az árban" NA NA NA NA NA NA
"20" "28.9" "30" "1" " 7. kerület, Rákóczi út " "felújított" "nincs megadva" "nincs megadva" "2" "3" "nincs" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "1950 elott" NA NA NA
