"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "kertkapcsolatos" "tetoter" "parkolas" "panelprogram" "erkely" "rezsikoltseg" "legkondicionalo"
"1" "53.5" "84" "3" " 11. kerület, Lágymányos – Muegyetem környéke " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "félemelet" "5" "nincs megadva" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "északkelet" "utcai" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"2" "34.9" "48" "2" " 11. kerület, Kelenföld – Fehérvári úti lakótelep " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "több mint 10" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "külön helyiségben" "dél" "kertre nézo" "nincs megadva" "nincs megadva" "nincs megadva" "részt vett" NA NA NA
"3" "75" "70" "3" " 13. kerület, Mór utca " "felújított" "2001-2010 között" "nincs megadva" "nincs megadva" "7" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti" "nincs megadva" "nincs megadva" "kelet" "utcai" "nincs megadva" "nem tetotéri" "nincs megadva" NA "12 m²" NA NA
"4" "27.6" "46" "1" " 14. kerület, Ond vezér útja " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA NA
"5" "115" "135" "4" " 12. kerület, Istenhegy – Diósárok " "jó állapotú" "1981-2000 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "nincs megadva" "nincs megadva" "nem tetotéri" "nincs megadva" NA "24 m²" NA NA
"6" "42.9" "44" "2" " 9. kerület, Kálvin tér " "felújított" NA "összkomfortos" "nincs megadva" "1" "5" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "udvari" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"7" "23.5" "64" "2" " 10. kerület, Harmat utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA "12 000 Ft/hó" NA
"8" "75" "87" "2" " 2. kerület, Fo utca " "közepes állapotú" "1950 elott" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "külön és egyben is" "dél" "kertre nézo" "nem" "nem tetotéri" "utca, közterület - fizetos övezet" NA "2 m²" NA "nincs"
"9" "75.92" "103" "5" " 4. kerület, Újpest-Kertváros " "nincs megadva" "2019" "duplakomfortos" "nincs megadva" "nincs megadva" "3" "nincs megadva" "nincs megadva" "gáz (cirko), falfutés" "nincs megadva" "külön helyiségben" "nincs megadva" "utcai" "nem" "nincs megadva" "teremgarázs hely - benne van az árban" NA NA NA NA
"10" "28.5" "52" "2" " 3. kerület, Füst Milán utca " "jó állapotú" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
