"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "panelprogram"
"1" "61" "87" "2.5" " 4. kerület, Újpesti lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"2" "176" "84" "2" " 1. kerület, Tabán " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"3" "52.9" "90" "2.5" " 16. kerület, Rákosszentmihály " "újszeru" "összkomfortos" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "nincs megadva" "északnyugat" "udvari" "8 m²" "igen" "nem tetotéri" "udvari beálló - benne van az árban" "2015" NA NA
"4" "27.7" "38" "1" " 3. kerület, Gyenes utca " "felújítandó" "összkomfortos" "nincs megadva" "1" "3" "nincs" "nincs megadva" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "kelet" "kertre nézo" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA
"5" "74.9" "76" "3" " 13. kerület, Újlipótváros – Cézárház " "újszeru" "összkomfortos" "nincs megadva" "3" "3" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "nincs megadva" "1950-1980 között" "van" NA
"6" "26.9" "44" "1" " 4. kerület, Újpesti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "1" "4" "van" "3 m-nél alacsonyabb" "házközponti" "nem" "egy helyiségben" "nyugat" "utcai" "2.75 m²" "igen" "nem tetotéri" "utca, közterület - ingyenes" "1981-2000 között" "van" NA
"7" "29.6" "54" "2" " 4. kerület, Újpesti lakótelep " "jó állapotú" "összkomfortos" "nincs megadva" "nincs megadva" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "egy helyiségben" "nyugat" "utcai" "3 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "van" "nem vett részt"
"8" "79.9" "68" "4.5" " 7. kerület, Jósika utca " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"9" "75.31" "54" "2" " 6. kerület, Andrássy út " "felújított" "nincs megadva" "nincs megadva" "1" "nincs megadva" "van" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délnyugat" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA
"10" "40" "52" "2" " 11. kerület, Kelenföldi lakótelep " "felújított" "nincs megadva" "nincs megadva" "8" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nem" "külön helyiségben" "délnyugat" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" "nincs" "nem vett részt"
"11" "27.1" "55" "2" " 4. kerület, Megyer – Izzó lakótelep " "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
"12" "40.9" "46" "2" " 8. kerület, Szentkirályi utca " "jó állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "nincs megadva" "udvari" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" "nincs" NA
"13" "84.9" "98" "3" " 1. kerület, Krisztinaváros – Váralja " "jó állapotú" "összkomfortos" "nincs megadva" "2" "6" "van" "3 m vagy magasabb" "házközponti" "nincs megadva" "külön helyiségben" "kelet" "utcai" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA
"14" "27.9" "57" "3" " 3. kerület, Békásmegyeri lakótelep Duna felol " "felújított" "nincs megadva" "nincs megadva" "1" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "dél" "nincs megadva" "1 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" NA "nem vett részt"
"15" "52" "66" "2" " 11. kerület, Kelenföld " "jó állapotú" "nincs megadva" "nincs megadva" "4" "5" "van" "3 m vagy magasabb" "házközponti" "nem" "külön helyiségben" "délnyugat" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" "1950 elott" NA NA
"16" "130" "122" "3" " 3. kerület, Mátyáshegy " "jó állapotú" "nincs megadva" "nincs megadva" "földszint" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nem" "külön és egyben is" "délnyugat" "nincs megadva" "8 m²" "igen" "nem tetotéri" "teremgarázs hely - benne van az árban" "2001-2010 között" NA NA
"17" "43.95" "69" "3" " 3. kerület, Óbuda – Kísérleti lakótelep " "jó állapotú" "nincs megadva" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nem" "külön helyiségben" "nyugat" "nincs megadva" NA "nem" "nem tetotéri" "utca, közterület" "1950-1980 között" NA "részt vett"
"18" "57.5" "83" "3" " 14. kerület, Hungária körút " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "5" "van" "3 m-nél alacsonyabb" "gáz (cirko)" "igen" "nincs megadva" "dél" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület" "1981-2000 között" NA NA
"19" "59.9" "77" "2" " 14. kerület, Hungária körút " "felújított" "duplakomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "nincs megadva" "délkelet" "utcai" "3 m²" "nincs megadva" "nincs megadva" "nincs megadva" "1950-1980 között" NA NA
"20" "49.9" "53" "3" " 7. kerület, Kazinczy utca " "felújított" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "elektromos" "nincs megadva" "külön helyiségben" "északnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA
