"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "panelprogram" "parkolas" "legkondicionalo" "rezsikoltseg"
"1" "24.9" "30" "1" " 8. kerület, Tömo utca " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10 felett" "nincs megadva" "van" "3 m-nél alacsonyabb" "távfutés egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "utcai" "4 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs megadva" NA NA
"2" "36.9" "34" "1" " 2. kerület, Fenyves lejto " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "dél" "nincs megadva" "11 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
"3" "12.99" "28" "1" " 22. kerület, Baross Gábor-telep " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "igen" "egy helyiségben" "délkelet" "kertre nézo" NA "igen" "nem tetotéri" NA "utca, közterület - ingyenes" NA NA
"4" "33.9" "51" "2" " 3. kerület, Rómaifürdo – Pók utcai lakótelep " "közepes állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "9" "10" "van" "nincs megadva" "házközponti" "igen" "külön helyiségben" "nincs megadva" "panorámás" "4 m²" "nincs megadva" "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA
"5" "30.9" "53" "2" " 14. kerület, Alsórákos " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "1" "nincs megadva" "nincs" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "külön helyiségben" "délkelet" "kertre nézo" "4 m²" "nem" "nincs megadva" "nem vett részt" "utca, közterület - ingyenes" "nincs" "20 000 Ft/hó"
"6" "48.07" "81" "2" " 6. kerület, Podmaniczky utca " "jó állapotú" "1950 elott" "komfortos" "nincs megadva" "2" "4" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "külön helyiségben" "délnyugat" "utcai" NA "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA
"7" "45.07" "45" "1" " 6. kerület, Rózsa utca 84. " "jó állapotú" "2001-2010 között" "összkomfortos" "nincs megadva" "5" "6" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nincs megadva" "udvari" "7 m²" "nem" "nem tetotéri" NA "utca, közterület - fizetos övezet" "nincs" NA
"8" "18.99" "38" "1" " 21. kerület, Ady Endre út " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "2" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "nem" "külön helyiségben" "dél" "kertre nézo" NA "nem" "legfelso emelet, nem tetotéri" NA "udvari beálló - benne van az árban" "van" NA
"9" "54.9" "110" "3" " 15. kerület, Kolozsvár utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "1" "3" "nincs megadva" "nincs megadva" "gáz (cirko)" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "10 m²" "nincs megadva" "nincs megadva" NA "udvari beálló - benne van az árban" NA NA
"10" "109.99" "112" "4" " 6. kerület, Belso-Terézváros " "nincs megadva" "2018" "nincs megadva" "nincs megadva" "4" "nincs megadva" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "kelet" "udvari" "26 m²" "nincs megadva" "nem tetotéri" NA "nincs megadva" NA NA
