"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "panelprogram" "rezsikoltseg" "parkolohely_ara"
"1" "44.99" "63" "2" " 13. kerület, Üteg utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "4" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "délkelet" "utcai" "3.54 m²" "nincs megadva" "nincs megadva" "teremgarázs hely" NA NA NA NA
"2" "42.9" "46" "3" " 8. kerület, Kisfaludy utca " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "délnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"3" "35.49" "54" "2" " 13. kerület, Üteg utca " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "földszint" "6" "van" "nincs megadva" "házközponti egyedi méréssel" "nincs megadva" "egy helyiségben" "északkelet" "udvari" "25 m²" "igen" "nincs megadva" "teremgarázs hely" "van" NA NA NA
"4" "89.9" "180" "5" " 8. kerület, Józsefváros – Csarnoknegyed " "jó állapotú" "1950 elott" "összkomfortos" "nincs megadva" "1" "3" "van" "3 m vagy magasabb" "gáz (cirko)" "nem" "külön és egyben is" "nincs megadva" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "van" NA NA NA
"5" "29.9" "72" "2" " 20. kerület, Szemere utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "12 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"6" "29.5" "59" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "felújított" "1950-1980 között" "összkomfortos" "nincs megadva" "7" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs megadva" "egy helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "utca, közterület" "van" "nem vett részt" NA NA
"7" "36" "47" "2" " 16. kerület, Cinkota – Európa-lakókert " "nincs megadva" "2001-2010 között" "összkomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" NA "nem" "tetotéri" "utca, közterület - ingyenes" NA NA NA NA
"8" "134.9" "110" "4" " 13. kerület, Turóc utca 3. " "nincs megadva" "2019" "luxus" "nincs megadva" "8" "9" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "35 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "nincs" NA NA NA
"9" "23.5" "53" "2" " 18. kerület, Csontváry Kosztka Tivadar utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "10 felett" "több mint 10" "van" "3 m-nél alacsonyabb" "távfutés" "igen" "külön helyiségben" "kelet" "panorámás" "4 m²" "nem" "zárószint" "utca, közterület" "nincs" "nem vett részt" "30 000 Ft/hó" NA
"10" "26.4" "45" "1" " 14. kerület, Istvánmezo " "jó állapotú" "1950-1980 között" "összkomfortos" "nincs megadva" "földszint" "földszintes" "nincs megadva" "3 m-nél alacsonyabb" "elektromos" "nincs megadva" "külön helyiségben" "délkelet" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA "5 000 Ft/hó" NA
