"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "legkondicionalo" "rezsikoltseg" "panelprogram" "parkolohely_ara"
"1" "52.5" "54" "2" " 11. kerület, Madárhegy " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "5" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" "13 m²" "nem" "nincs megadva" "teremgarázs hely" NA NA NA NA
"2" "17.9" "26" "1" " 13. kerület, Tar utca " "felújítandó" "1950 elott" "összkomfortos" "nincs megadva" "2" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nem" "egy helyiségben" "délkelet" "udvari" NA "nem" "nem tetotéri" "utca, közterület" "van" "6 000 Ft/hó" NA NA
"3" "27" "64" "3" " 4. kerület, Perényi Zsigmond utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "7 m²" "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"4" "89.79" "101" "3" " 11. kerület, Ormezo " "nincs megadva" "2019" "összkomfortos" "nincs megadva" "1" "4" "van" "nincs megadva" "házközponti egyedi méréssel" "igen" "nincs megadva" "délnyugat" "kertre nézo" "37 m²" "nem" "nincs megadva" "teremgarázs hely" NA NA NA NA
"5" "19.5" "38" "2" " 10. kerület, Laposdulo " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs megadva" "3 m-nél alacsonyabb" "egyéb" "nincs megadva" "nincs megadva" "kelet" "nincs megadva" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"6" "35.4" "44" "2" " 12. kerület, Krisztinaváros " "felújítandó" "1950 elott" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "nincs megadva" "kelet" "udvari" NA "nincs megadva" "nem tetotéri" "nincs megadva" NA NA NA NA
"7" "46.4" "75" "4" " 10. kerület, Laposdulo " "felújított" "1981-2000 között" "összkomfortos" "nincs megadva" "4" "4" "nincs megadva" "nincs megadva" "házközponti egyedi méréssel" "nem" "külön helyiségben" "délkelet" "nincs megadva" "4 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" "van" "55 000 Ft/hó" "nincs megadva" NA
"8" "116.84" "130" "5" " 5. kerület, Bajcsy-Zsilinszky út " "nincs megadva" NA "nincs megadva" "nincs megadva" "2" "2" "nincs" "3 m vagy magasabb" "gáz (cirko)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "udvari beálló - bérelheto" "van" NA NA "25 000 Ft/hó"
"9" "14.5" "26" "1" " 8. kerület, Koris utca " "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA NA NA
"10" "19.2" "39" "1" " 10. kerület, Liget utca " "közepes állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "3 m vagy magasabb" "gáz (konvektor)" "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nincs megadva" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
