"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "epites_eve" "legkondicionalo" "parkolohely_ara" "panelprogram"
"1" "64.9" "67" "2" " 2. kerület, Buday László utca " "közepes állapotú" "összkomfortos" "nincs megadva" "1" "3" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "12 000 Ft/hó" "nincs megadva" "egy helyiségben" "délnyugat" "panorámás" "4 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" NA NA NA NA
"2" "42.8" "58" "2" " 6. kerület, Csengery utca " "közepes állapotú" "összkomfortos" "nincs megadva" "földszint" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "délnyugat" "udvari" NA "nincs megadva" "nincs megadva" "utca, közterület - fizetos övezet" NA NA NA NA
"3" "27.9" "26" "1" " 7. kerület, Rottenbiller utca " "jó állapotú" "nincs megadva" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "elektromos" NA "nincs megadva" "egy helyiségben" "északnyugat" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" "1950 elott" NA NA NA
"4" "24.9" "33" "1" " 8. kerület, II. János Pál pápa tér " "jó állapotú" "nincs megadva" "nincs megadva" "1" "nincs megadva" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA "nincs megadva" "egy helyiségben" "északnyugat" "utcai" NA "nincs megadva" "nincs megadva" "nincs megadva" NA "nincs" NA NA
"5" "39.9" "51" "2" " 6. kerület, Szív utca " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "nincs megadva" "gáz (cirko)" NA "nincs megadva" "egy helyiségben" "dél" "utcai" NA "nincs megadva" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"6" "49" "77" "2" " 9. kerület, Ülloi út " "közepes állapotú" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (cirko)" NA "nincs megadva" "külön helyiségben" "kelet" "utcai" NA "nem" "nem tetotéri" "utca, közterület - fizetos övezet" "1950 elott" NA NA NA
"7" "88.9" "110" "4" " 11. kerület, Karolina út " "felújítandó" "duplakomfortos" "nincs megadva" "2" "2" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "40 000 Ft/hó" "nincs megadva" "külön és egyben is" "dél" "kertre nézo" "20 m²" "nem" "nincs megadva" "utca, közterület - ingyenes" "1950 elott" NA NA NA
"8" "198" "125" "3" " 5. kerület, Lipótváros " "újszeru" "luxus" "nincs megadva" "3" "5" "van" "nincs megadva" "házközponti egyedi méréssel" NA "nincs megadva" "nincs megadva" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nincs megadva" "teremgarázs hely - megvásárolható" "2001-2010 között" "van" "11.7 M Ft" NA
"9" "69" "77" "2" " 2. kerület, Pasarét " "felújított" "nincs megadva" "nincs megadva" "2" "nincs megadva" "nincs" "nincs megadva" "házközponti" NA "nincs megadva" "nincs megadva" "délnyugat" "utcai" "3 m²" "nincs megadva" "nem tetotéri" "nincs megadva" "1950 elott" NA NA NA
"10" "28.9" "63" "3" " 14. kerület, Róna park " "felújítandó" "nincs megadva" "nincs megadva" "földszint" "nincs megadva" "nincs megadva" "nincs megadva" "távfutés" NA "nincs megadva" "nincs megadva" "nyugat" "kertre nézo" NA "nincs megadva" NA "nincs megadva" NA NA NA NA
"11" "41.6" "65" "2" " 13. kerület, Volegény utca " "felújított" "összkomfortos" "FF" "2" "4" "nincs" "3 m-nél alacsonyabb" "gáz (konvektor)" "15 500 Ft/hó" "nem" "külön helyiségben" "északkelet" "panorámás" "7 m²" "nem" "nem tetotéri" "udvari beálló - bérelheto" "1950-1980 között" "nincs" "2 000 Ft/hó" NA
"12" "45.9" "70" "3" " 11. kerület, Somogyi út " "jó állapotú" "összkomfortos" "nincs megadva" "3" "5" "nincs" "3 m-nél alacsonyabb" "távfutés" "12 000 Ft/hó" "nem" "külön helyiségben" "délkelet" "kertre nézo" "3 m²" "nincs megadva" "nem tetotéri" "utca, közterület - ingyenes" "1950-1980 között" "nincs" NA NA
