"ar_millio" "alapterulet_m" "szobak_n" "cim" "ingatlan_allapota" "epites_eve" "komfort" "energiatanusitvany" "emelet" "epulet_szintjei" "lift" "belmagassag" "futes" "legkondicionalo" "rezsikoltseg" "akadalymentesitett" "furdo_es_wc" "tajolas" "kilatas" "erkely" "kertkapcsolatos" "tetoter" "parkolas" "parkolohely_ara" "panelprogram"
"1" "77" "46" "2" " 6. kerület, Király utca 40. " "újszeru" "2019" "luxus" "AA+" "5" "7" "van" "3 m-nél alacsonyabb" "házközponti egyedi méréssel" "van" "39 997 Ft/hó" "igen" "egy helyiségben" "nincs megadva" "utcai" "1 m²" "igen" "nem tetotéri" "teremgarázs hely - megvásárolható" "9 M Ft" NA
"2" "38.3" "41" "1" " 14. kerület, Thököly út " "felújított" "1950 elott" "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m-nél alacsonyabb" "gáz (cirko)" "van" "9 000 Ft/hó" "nem" "külön helyiségben" "északkelet" "utcai" "2 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"3" "27.55" "30" "1" " 11. kerület, Bánk bán utca " "jó állapotú" NA "összkomfortos" "nincs megadva" "3" "3" "nincs" "3 m vagy magasabb" "gáz (konvektor)" NA NA "nincs megadva" "külön és egyben is" "nincs megadva" "kertre nézo" NA "nincs megadva" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA NA
"4" "26.5" "46" "1" " 14. kerület, Zsivora park " "jó állapotú" "1950-1980 között" "nincs megadva" "nincs megadva" "10" "10" "van" "3 m-nél alacsonyabb" "távfutés" "nincs" NA "igen" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület - ingyenes" NA "nincs megadva"
"5" "48" "50" "2" " 6. kerület, Székely Bertalan utca " "felújított" NA "összkomfortos" "nincs megadva" "1" "4" "nincs megadva" "3 m vagy magasabb" "gáz (cirko)" "van" NA "nincs megadva" "nincs megadva" "nincs megadva" "udvari" NA "nincs megadva" "nincs megadva" "nincs megadva" NA NA
"6" "57.9" "52" "2" " 5. kerület, Semmelweis utca " "jó állapotú" "1981-2000 között" "összkomfortos" "nincs megadva" "7" "8" "van" "nincs megadva" "házközponti" "nincs" NA "nem" "külön helyiségben" "északkelet" "utcai" NA "nem" "nem tetotéri" "udvari beálló - benne van az árban" NA NA
"7" "105" "103" "3" " 3. kerület, Nánási út " "felújított" "2011" "duplakomfortos" "nincs megadva" "2" "3" "van" "nincs megadva" "gáz (cirko)" "van" NA "nincs megadva" "egy helyiségben" "nincs megadva" "nincs megadva" "40 m²" "nincs megadva" "nincs megadva" "udvari beálló - megvásárolható" NA NA
"8" "74.9" "90" "2" " 2. kerület, Káplár utca " "felújított" "1950-1980 között" "duplakomfortos" "nincs megadva" "2" "6" "van" "nincs megadva" "házközponti" "nincs" "36 000 Ft/hó" "nincs megadva" "külön és egyben is" "kelet" "utcai" "1 m²" "nem" "nem tetotéri" "utca, közterület - ingyenes" NA NA
"9" "42.9" "44" "1" " 13. kerület, Balzac utca " "jó állapotú" "1950-1980 között" "komfortos" "nincs megadva" "5" "5" "van" "3 m-nél alacsonyabb" "gáz (konvektor)" NA NA "nincs megadva" "egy helyiségben" "nincs megadva" "utcai" NA "nem" "legfelso emelet, nem tetotéri" "utca, közterület" NA NA
"10" "37.5" "70" "3" " 15. kerület, Zsókavár utca " "közepes állapotú" NA "nincs megadva" "nincs megadva" "7" "10" "van" "nincs megadva" "távfutés egyedi méréssel" NA "40 000 Ft/hó" "nincs megadva" "külön helyiségben" "nincs megadva" "nincs megadva" "6 m²" "nincs megadva" "nem tetotéri" "nincs megadva" NA "részt vett"
